ndiv,state,num_interfaces,max_Rgamma_minus_VgammaP,max_face_point_error,max_conormal_opposite_error,max_face_jacobian_error,max_face_jacobian_relative_error,max_abs_a_minus_plus_a_plus,max_abs_m_code_minus_m_pm,max_abs_epsilon_minus,max_abs_epsilon_plus,max_literal_vs_oriented_plus_difference,mean_literal_vs_oriented_plus_difference,max_abs_m_old_literal_subtracted_minus_m_pm,max_abs_m_literal_as_minus_orientation_minus_m_pm
4,all_states,192,0.0,1.6653345369377348e-16,3.6821932062951477e-16,1.1102230246251565e-16,2.5242510340199084e-16,0.0001260568535445556,0.0,0.2603541345715745,0.14766367044086615,0.42172668859071527,0.18012771788115545,0.4426253163500649,0.21086334429535764
8,all_states,768,0.0,1.594436429147036e-16,3.554447978966673e-16,1.1102230246251565e-16,3.986827222394392e-16,1.402104864297541e-06,0.0,0.04739165130778522,0.06170234254081316,0.23215525609005674,0.10246706513103296,0.23409136924588725,0.11607762804502839
16,all_states,3072,0.0,1.9229626863835638e-16,4.002966042486721e-16,8.326672684688674e-17,5.828734584761867e-16,1.8197095101590843e-08,0.0,0.015842790050886513,0.012884089881914258,0.11900756272522837,0.05428068716485573,0.11841762544264989,0.059503781362614194
32,all_states,12288,0.0,1.9229626863835638e-16,4.710277376051325e-16,4.163336342344337e-17,6.570465528694525e-16,2.653962466458992e-10,0.0,0.003864808321183577,0.003937564083749993,0.0597748315997006,0.027881009410506013,0.058916871151284494,0.0298874157998503
64,all_states,49152,0.0,2.5438405243138006e-16,4.965068306494546e-16,2.0816681711721685e-17,6.168251859853158e-16,3.927261293945605e-12,0.0,0.0009758581329813165,0.0011023288554570798,0.029928697149595843,0.014122043305335388,0.02929639961151479,0.014964348574797922
