ndiv,state,num_interfaces,max_Rgamma_minus_VgammaP,max_face_point_error,max_conormal_opposite_error,max_face_jacobian_error,max_face_jacobian_relative_error,max_abs_a_minus_plus_a_plus,max_abs_m_code_minus_m_pm,max_abs_epsilon_minus,max_abs_epsilon_plus,max_literal_vs_oriented_plus_difference,mean_literal_vs_oriented_plus_difference,max_abs_m_old_literal_subtracted_minus_m_pm,max_abs_m_literal_as_minus_orientation_minus_m_pm
16,projected_gaussian,3072,0.0,1.9229626863835638e-16,4.002966042486721e-16,8.326672684688674e-17,5.828734584761867e-16,1.8197095101590843e-08,0.0,8.618975685242836e-08,9.089246187643507e-08,0.11900756272522837,0.05428068716485573,0.11841762544264989,0.059503781362614194
16,random_modal,3072,0.0,1.9229626863835638e-16,4.002966042486721e-16,8.326672684688674e-17,5.828734584761867e-16,1.8197095101590843e-08,0.0,0.015842790050886513,0.012884089881914258,0.11900756272522837,0.05428068716485573,0.11841762544264989,0.059503781362614194
32,constant,12288,0.0,1.9229626863835638e-16,4.710277376051325e-16,4.163336342344337e-17,6.570465528694525e-16,2.653962466458992e-10,0.0,1.3269814413963132e-10,1.3269811291460876e-10,0.0597748315997006,0.027881009410506013,0.058916871151284494,0.0298874157998503
32,polynomial,12288,0.0,1.9229626863835638e-16,4.710277376051325e-16,4.163336342344337e-17,6.570465528694525e-16,2.653962466458992e-10,0.0,0.0005418582492487736,0.0005926803169546795,0.0597748315997006,0.027881009410506013,0.058916871151284494,0.0298874157998503
32,projected_gaussian,12288,0.0,1.9229626863835638e-16,4.710277376051325e-16,4.163336342344337e-17,6.570465528694525e-16,2.653962466458992e-10,0.0,1.3981052322808996e-09,1.4598510733598857e-09,0.0597748315997006,0.027881009410506013,0.058916871151284494,0.0298874157998503
32,random_modal,12288,0.0,1.9229626863835638e-16,4.710277376051325e-16,4.163336342344337e-17,6.570465528694525e-16,2.653962466458992e-10,0.0,0.003864808321183577,0.003937564083749993,0.0597748315997006,0.027881009410506013,0.058916871151284494,0.0298874157998503
64,constant,49152,0.0,2.5438405243138006e-16,4.965068306494546e-16,2.0816681711721685e-17,6.168251859853158e-16,3.927261293945605e-12,0.0,1.9636410553136585e-12,1.9636254428023747e-12,0.029928697149595843,0.014122043305335388,0.02929639961151479,0.014964348574797922
64,polynomial,49152,0.0,2.5438405243138006e-16,4.965068306494546e-16,2.0816681711721685e-17,6.168251859853158e-16,3.927261293945605e-12,0.0,0.00013733326180743327,0.00014940474847409055,0.029928697149595843,0.014122043305335388,0.02929639961151479,0.014964348574797922
64,projected_gaussian,49152,0.0,2.5438405243138006e-16,4.965068306494546e-16,2.0816681711721685e-17,6.168251859853158e-16,3.927261293945605e-12,0.0,2.2201842794777882e-11,2.274196629625802e-11,0.029928697149595843,0.014122043305335388,0.02929639961151479,0.014964348574797922
64,random_modal,49152,0.0,2.5438405243138006e-16,4.965068306494546e-16,2.0816681711721685e-17,6.168251859853158e-16,3.927261293945605e-12,0.0,0.0009758581329813165,0.0011023288554570798,0.029928697149595843,0.014122043305335388,0.02929639961151479,0.014964348574797922
