ndivs,order,n_elements,n_points_per_element,total_dofs,dt,tf,nsteps,hmin,l2_error,relative_l2_error,linf_error,mass_drift,l2_norm_drift,initial_mass,final_mass,absolute_mass_drift,relative_mass_drift,initial_energy,final_energy,absolute_energy_drift,relative_energy_drift,q_min,q_max,undershoot,overshoot,elapsed_seconds,l2_rate,relative_l2_rate,linf_rate
1,4,8,16,128,16457.14285714286,1036800.0,63,10009931.531531531,2120769068.4801881,0.5276551986868395,456.5218119965957,5.5117196511879366e-15,350817784.226315,2.975477897622264e+16,2.9754778976222804e+16,164.0,5.5117196511879366e-15,8.106467965667468e+18,9.580582512686268e+18,1.4741145470188e+18,0.18184424502285995,-382.4803495952658,1039.9129551709282,-382.4803495952658,39.91295517092817,0.8723482999994303,,,
2,4,32,16,512,8228.57142857143,1036800.0,126,5003772.439463574,258448940.53560957,0.06605112925162587,74.37946949934155,-1.3333200484612622e-16,1716291.8498778343,3.0000298912599864e+16,3.000029891259986e+16,4.0,-1.3333200484612622e-16,7.655305930297578e+18,7.662023043224934e+18,6717112927355904.0,0.0008774453938896724,-50.6532940110561,960.6658375106384,-50.6532940110561,0.0,0.12599039999986417,3.035592034227678,2.9969093641562488,2.6168071930709074
4,4,128,16,2048,3366.2337662337663,1036800.0,308,2049872.7820967603,24182718.341939446,0.0061812871742949055,10.416769348773073,1.3334901204143177e-16,3440.7632808685303,2.9996472705453516e+16,2.999647270545352e+16,4.0,1.3334901204143177e-16,7.65283537608323e+18,7.652848837202405e+18,13461119175680.0,1.7589714810472621e-06,-5.681273434704607,1006.3154268095183,-5.681273434704607,6.3154268095182715,0.49926529999902414,2.654663505884847,2.6544872480299864,2.2027468971562145
8,4,512,16,8192,1485.3868194842407,1036800.0,698,904026.1348831325,1268483.9320948785,0.00032423413746711594,0.5111369227359202,-2.666980367274097e-16,4.114217281341553,2.9996471283276628e+16,2.999647128327662e+16,8.0,-2.666980367274097e-16,7.652837094002103e+18,7.652837110097936e+18,16095833088.0,2.1032504534318494e-09,-0.4401203410863314,999.6109707117728,-0.4401203410863314,0.0,2.45118150000053,3.6007167120043637,3.600716811246727,3.6822129262697176
