ndivs,order,n_elements,n_points_per_element,total_dofs,dt,tf,nsteps,hmin,l2_error,relative_l2_error,linf_error,mass_drift,l2_norm_drift,initial_mass,final_mass,absolute_mass_drift,relative_mass_drift,initial_energy,final_energy,absolute_energy_drift,relative_energy_drift,q_min,q_max,undershoot,overshoot,elapsed_seconds,l2_rate,relative_l2_rate,linf_rate
1,4,8,22,176,14811.42857142857,103680.0,7,10009931.531531531,1404030131.830704,0.38055694343564317,1826.3735371160697,5.622237404484182e-16,104441058.14923954,2.845842117452871e+16,2.845842117452873e+16,16.0,5.622237404484182e-16,8.180628716642289e+18,8.608536854846989e+18,4.279081382047007e+17,0.052307487972676765,-1281.6645899349721,1479.0154659088182,-1281.6645899349721,479.0154659088182,5.028972300002351,,,
2,4,32,22,704,7975.384615384615,103680.0,13,5003772.439463574,176046662.0609268,0.04501905398899022,130.3000109524831,0.0,1581059.239393711,3.0008086318370464e+16,3.0008086318370464e+16,0.0,0.0,7.644431359349002e+18,7.650614705054868e+18,6183345705866240.0,0.000808869282121831,-34.048056777049425,981.4516531598981,-34.048056777049425,0.0,0.04502479999791831,2.9945139448743063,3.078445648295192,3.807762802135471
4,4,128,22,2816,3344.516129032258,103680.0,31,2049872.7820967603,12570559.359194512,0.0032131219738889168,15.995307849591995,0.0,4493.328186988831,2.9996476506636188e+16,2.9996476506636188e+16,0.0,0.0,7.652847171383253e+18,7.652864750413263e+18,17579030009856.0,2.2970575024143056e-06,-2.009995807304945,994.2422425089808,-2.009995807304945,0.0,0.18691729998681694,2.957585194655887,2.9580908073109793,2.350414998179307
8,4,512,22,11264,1481.142857142857,103680.0,70,904026.1348831325,591905.2497804081,0.00015129548320545595,0.6435752029151445,0.0,18.693397998809814,2.999647119532355e+16,2.999647119532355e+16,0.0,0.0,7.652837167107131e+18,7.652837240240316e+18,73133185024.0,9.55634928942899e-09,-0.046958919911457564,997.888642206102,-0.046958919911457564,0.0,0.7348054999893066,3.7325766518220043,3.732573384095492,3.92464998192436
