ndivs,order,n_elements,total_dofs,hmin,absolute_weighted_l2,relative_weighted_l2,absolute_linf,relative_linf,r_absolute_weighted_l2,s_absolute_weighted_l2,reference_flux_weighted_l2,relative_weighted_l2_rate,relative_linf_rate
4,2,128,1280,0.32175068395896994,0.008346565517932435,0.010011978974278779,0.0018779964311137175,0.00790527811124327,0.003903664654072604,0.0038236296311333394,0.8336579151209901,,
8,2,512,5120,0.1418970550191334,0.0011477655691527363,0.001359110687722322,0.00019691906948058994,0.0014396146598800316,0.0005197231548103678,0.000514782161728557,0.8444974934868842,2.8809923054587987,2.457133519439319
