level,order,n_elements,n_points_per_element,total_dofs,dt,tf,nsteps,hmin,l2_error,relative_l2_error,linf_error,mass_drift,l2_norm_drift,l2_rate,relative_l2_rate,linf_rate
0,3,8,18,144,0.003472222222222222,0.5,144,1.5686274509803924,0.23354833514171058,0.3674573420044146,0.27471770831215525,-0.0033036342240904126,-0.007082696853892734,,,
1,3,32,18,576,0.0017421602787456446,0.5,287,0.7853952528423791,0.04972275560117926,0.08038533497974786,0.13507599013902227,-0.00020462190615111453,-0.0021398664418776914,2.231743003974568,2.1925725438439643,1.0241786522783816
