level,order,n_elements,n_points_per_element,total_dofs,dt,tf,nsteps,hmin,l2_error,relative_l2_error,linf_error,mass_drift,l2_norm_drift,l2_rate,relative_l2_rate,linf_rate
0,3,8,18,144,0.0017421602787456446,0.5,287,1.5686274509803924,0.23354833515796264,0.36745734202998503,0.27471770833373566,-0.003303634223812524,-0.007082696858005444,,,
1,3,32,18,576,0.0008726003490401396,0.5,573,0.7853952528423791,0.04972275559951609,0.08038533497705906,0.13507599016241267,-0.00020462190613423914,-0.002139866442120608,2.231743004123218,2.192572543992614,1.0241786521418885
