ndivs,order,n_elements,total_dofs,hmin,absolute_weighted_l2,relative_weighted_l2,absolute_linf,relative_linf,r_absolute_weighted_l2,s_absolute_weighted_l2,reference_flux_weighted_l2,relative_weighted_l2_rate,relative_linf_rate
4,4,128,2816,0.32175055440225403,0.00038193322385471264,0.0004581641173896678,0.00013599948336490847,0.0005384591906974754,0.00017208998184101206,0.00017680025809986279,0.8336166219884895,,
8,4,512,11264,0.14189705460416463,1.4252397881139233e-05,1.6876545442114864e-05,4.167323348363075e-06,3.01220905699733e-05,6.207678011091222e-06,6.48435145362696e-06,0.8445091994699842,4.762772947950843,4.15994320217403
16,4,2048,45056,0.06656816377582381,4.579253446239615e-07,5.409141828869196e-07,7.362084303037114e-08,1.0952086320418838e-06,1.953312792879204e-07,2.0719941591281374e-07,0.846576701279975,4.963476084668682,4.781544273489754
32,4,8192,180224,0.03224688243525392,1.4409199226030241e-08,1.7010634521258525e-08,1.2116202080265231e-09,3.68508371132065e-08,6.087479678568066e-09,6.510740926868318e-09,0.8470700612621346,4.990890864035238,4.8933645200045905
64,4,32768,720896,0.015871682991790047,4.5106434381318593e-10,5.324228339371208e-10,1.888984541703609e-11,1.1602355608911283e-09,1.8969947648441517e-10,2.037403006268422e-10,0.8471919592134861,4.997720701170889,4.989207743907721
