ndivs,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_projected_M,max_abs_projected_P,max_abs_projected_mismatch,weighted_l2_projected_mismatch,relative_projected_mismatch,max_abs_direct_M,max_abs_direct_P,max_abs_direct_mismatch,weighted_l2_direct_mismatch,relative_direct_mismatch,max_abs_projected_minus_direct_M,max_abs_projected_minus_direct_P,relative_projected_direct_difference,max_abs_decomposition_error,max_face_coordinate_mismatch,max_face_conormal_mismatch,max_face_jacobian_mismatch
4,0,0,1,1,5,0.18045404592656755,0.18045193011853236,4.369135048684636e-06,1.9068684571228909e-06,2.4211898526578756e-05,0.1804465841229921,0.18044658412299217,5.551115123125783e-17,2.750601771756289e-17,3.07632042474251e-16,9.722280612828316e-06,5.353145564129802e-06,5.387676714538514e-05,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
4,0,1,16,2,5,0.04263413768017606,0.042634247522370286,3.523578166395036e-07,1.771104509445221e-07,8.26466601655443e-06,0.04263781021110068,0.04263781021110068,1.3877787807814457e-17,6.815185426162238e-18,3.2548078194225367e-16,3.6725309246199433e-06,3.562688730390784e-06,8.613319742353482e-05,0.0,2.7755575615628914e-17,5.316639560559273e-17,5.551115123125783e-17
4,0,2,48,1,5,0.13903119606942085,0.13903119606942096,1.1102230246251565e-16,6.624588535510329e-17,7.985423818628452e-16,0.13902977047017123,0.13902977047017123,1.3877787807814457e-17,6.7889811045435294e-18,9.981882125592611e-17,4.9805901758542825e-06,4.980590175771016e-06,3.582354404379415e-05,0.0,2.7755575615628914e-17,5.316639560559273e-17,5.551115123125783e-17
4,1,0,2,2,5,0.16095830750143525,0.16095885065818033,1.1071006163682062e-05,4.398276369433921e-06,6.878159304947427e-05,0.16095417583017893,0.16095417583017893,2.7755575615628914e-17,9.553057966537281e-18,1.7244396097503883e-16,4.78100725792574e-06,6.2899989057285666e-06,3.9078304051054016e-05,0.0,1.1102230246251565e-16,1.6653345369377348e-16,5.551115123125783e-17
4,1,2,7,1,5,0.0661073697143607,0.06609985246780005,7.517246560645452e-06,3.623244985159336e-06,0.00011371268578868384,0.06610311170823734,0.06610311170823732,1.3877787807814457e-17,9.701729820092415e-18,2.09941520893412e-16,4.258006123358804e-06,7.31698555851007e-06,0.00011068335633569429,0.0,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17
4,2,0,3,1,5,0.27155172371942526,0.2715543496552849,2.74134146648064e-05,1.1991975994312937e-05,0.0001009500112946281,0.2715405944459863,0.2715405944459863,5.551115123125783e-17,3.840427661096054e-17,2.0443039592115153e-16,1.9179663044988082e-05,1.3755209298582649e-05,7.062918737753613e-05,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.1102230246251565e-16
4,2,1,23,2,5,0.13881387044224905,0.13881155875132017,3.1857716087241306e-06,1.7564869885213848e-06,2.294995160479667e-05,0.13881405606922312,0.1388140560692231,2.7755575615628914e-17,1.7275335116617076e-17,1.999478756084175e-16,9.182896647114136e-06,5.997125038376128e-06,6.615249858079828e-05,0.0,1.1102230246251565e-16,6.5329661563728e-17,5.551115123125783e-17
4,3,0,4,2,5,0.0880286264209536,0.08802069127363527,1.053576685712456e-05,6.544418514530953e-06,0.00011968568959309258,0.08801251769613189,0.08801251769613189,5.637851296924623e-17,3.245123056902646e-17,6.405738006938533e-16,1.6108724821717324e-05,1.1447012390778874e-05,0.0001829941631110461,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
4,3,2,9,1,5,0.24011986512908176,0.2401226805630244,6.200855318883036e-06,3.727044457442658e-06,2.5823696888372496e-05,0.2400967168402112,0.24009671684021117,2.7755575615628914e-17,2.1447215017685024e-17,1.1560164579052017e-16,2.9423283582616366e-05,2.596372281324366e-05,0.00012253437914996833,0.0,1.1102230246251565e-16,1.6653345369377348e-16,0.0
4,4,0,5,1,5,0.23663784602591967,0.23663972979128703,5.80048979309522e-06,2.56177408997779e-06,2.4511901692125713e-05,0.23664170457244219,0.23664170457244224,5.551115123125783e-17,3.455067023323415e-17,2.345789020221683e-16,4.32582058182418e-06,1.974781155211769e-06,1.8280043197119267e-05,0.0,5.551115123125783e-17,2.7755575615628914e-16,0.0
4,4,1,28,2,5,0.188917751313536,0.18891456554192734,3.1857716086547416e-06,1.7564869884282415e-06,1.6863272966697017e-05,0.1889126521254644,0.1889126521254644,2.7755575615628914e-17,1.920213830548027e-17,1.4692279899387223e-16,5.099188071594485e-06,5.161605681258674e-06,2.732197289757198e-05,0.0,1.1102230246251565e-16,1.0818861201822472e-16,5.551115123125783e-17
4,5,0,6,2,5,0.01290696248224793,0.01290638447412177,7.208578001183241e-07,5.725979214382907e-07,5.585030568654574e-05,0.012904185551413464,0.012904185551413467,4.5102810375396984e-17,1.9603147826505086e-17,3.495207829715113e-15,2.7769308345356597e-06,2.1989227083178686e-06,0.00021514983392529534,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
4,5,2,11,1,5,0.23663972979128695,0.23663784602591947,5.800489793206243e-06,2.5617740900648933e-06,2.4511901692594884e-05,0.23664170457244219,0.23664170457244219,2.7755575615628914e-17,1.3577962209087059e-17,1.1728945101108419e-16,1.9747811552395245e-06,4.325820581768669e-06,1.8280043196884693e-05,0.0,5.551115123125783e-17,2.220446049250313e-16,0.0
4,6,0,79,0,5,0.14271464908308656,0.14271482846942457,3.523578166741981e-07,1.771104509333291e-07,2.468964300718672e-06,0.14271482794975096,0.14271482794975096,2.7755575615628914e-17,1.660186658973676e-17,1.944827738950958e-16,1.4179014453385985e-06,1.3080592511649503e-06,9.935207578253662e-06,0.0,2.7755575615628914e-17,5.316639560559273e-17,5.551115123125783e-17
4,6,1,31,2,5,0.14271464908308656,0.14271482846942454,3.523578165354202e-07,1.7711045090008132e-07,2.4689642997462587e-06,0.14271482794975096,0.14271482794975096,2.7755575615628914e-17,1.660186658973676e-17,1.944827738950958e-16,1.4179014454218652e-06,1.3080592511649503e-06,9.935207578837112e-06,0.0,2.7755575615628914e-17,3.2717781911133987e-17,5.551115123125783e-17
4,7,0,8,1,5,0.1524629813375824,0.15244080373671975,2.2177600862649527e-05,9.444623072496897e-06,0.00014546220117225733,0.1524421523517553,0.15244215235175537,8.326672684688674e-17,3.2129324433811025e-17,5.462185200242479e-16,2.08289858271149e-05,1.9951111229752662e-05,0.00013661667668032486,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
