ndivs,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_projected_M,max_abs_projected_P,max_abs_projected_mismatch,weighted_l2_projected_mismatch,relative_projected_mismatch,max_abs_direct_M,max_abs_direct_P,max_abs_direct_mismatch,weighted_l2_direct_mismatch,relative_direct_mismatch,max_abs_projected_minus_direct_M,max_abs_projected_minus_direct_P,relative_projected_direct_difference,max_abs_decomposition_error,max_face_coordinate_mismatch,max_face_conormal_mismatch,max_face_jacobian_mismatch
1,0,0,1,1,5,0.6370660762661999,0.6504257291889796,0.030896237809313554,0.022116273085077753,0.04750156155082962,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.03280999338882318,0.025048898072681458,0.04972746810633935,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,0,1,3,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,2.5757308900239343e-16,7.00288281953106e-16,0.4633417389582363,0.4633417389582363,0.0,0.0,0.0,0.01227225597913778,0.012272255979137559,0.025802974911942434,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,0,2,4,2,5,0.6370660762661997,0.6504257291889799,0.030896237809314275,0.022116273085078023,0.04750156155083071,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.032809993388822956,0.02504889807268157,0.04972746810633902,0.0,5.551115123125783e-17,3.7637667885821685e-16,0.0
1,1,0,2,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,4.552615086484714e-16,5.228137547986055e-16,1.256637061435917,1.256637061435917,0.0,0.0,0.0,0.034419346695548025,0.03441934669554758,0.027013953479737462,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,1,2,5,2,5,0.6504257291889799,0.6370660762661997,0.030896237809314275,0.022116273085078023,0.04750156155083071,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.02504889807268157,0.032809993388822956,0.04972746810633902,0.0,5.551115123125783e-17,3.7637667885821685e-16,0.0
1,2,0,3,1,5,0.6504257291889795,0.6370660762662002,0.030896237809314275,0.022116273085077676,0.04750156155083074,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.025048898072681153,0.03280999338882307,0.049727468106339184,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,2,2,6,2,5,0.6504257291889797,0.6370660762661999,0.030896237809313595,0.022116273085077645,0.04750156155082968,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.02504889807268118,0.03280999338882307,0.049727468106339184,0.0,5.551115123125783e-17,3.7637667885821685e-16,0.0
1,3,2,7,2,5,0.6370660762661999,0.6504257291889797,0.030896237809313595,0.022116273085077645,0.04750156155082968,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.03280999338882307,0.02504889807268118,0.049727468106339184,0.0,5.551115123125783e-17,3.7637667885821685e-16,0.0
1,4,0,7,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,4.552615086484714e-16,5.228137547986055e-16,1.256637061435917,1.256637061435917,0.0,0.0,0.0,0.034419346695548025,0.03441934669554758,0.027013953479737462,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,4,1,5,0,5,0.6504257291889796,0.6370660762661999,0.030896237809313554,0.022116273085077753,0.04750156155082962,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.025048898072681458,0.03280999338882318,0.04972746810633935,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,5,1,6,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,2.5757308900239343e-16,7.00288281953106e-16,0.4633417389582363,0.4633417389582363,0.0,0.0,0.0,0.01227225597913778,0.012272255979137559,0.025802974911942434,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
1,6,1,7,0,5,0.6370660762662002,0.6504257291889795,0.030896237809314275,0.022116273085077673,0.04750156155083074,0.659796177811846,0.659796177811846,5.551115123125783e-17,2.878723931740601e-17,8.413378721797921e-17,0.03280999338882307,0.025048898072681153,0.049727468106339184,0.0,5.551115123125783e-17,4.0272304637829206e-16,0.0
