ndivs,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_projected_M,max_abs_projected_P,max_abs_projected_mismatch,weighted_l2_projected_mismatch,relative_projected_mismatch,max_abs_direct_M,max_abs_direct_P,max_abs_direct_mismatch,weighted_l2_direct_mismatch,relative_direct_mismatch,max_abs_projected_minus_direct_M,max_abs_projected_minus_direct_P,relative_projected_direct_difference,max_abs_decomposition_error,max_face_coordinate_mismatch,max_face_conormal_mismatch,max_face_jacobian_mismatch
2,0,0,1,1,5,0.4855065020827316,0.48501949796671917,0.0008994911129364194,0.000484756247335867,0.0018526860280506474,0.4859663213020086,0.4859663213020086,2.7755575615628914e-17,1.483272912393079e-17,5.711419577650101e-17,0.0016990512994025306,0.0009468233352894484,0.003496232608980815,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0
2,0,1,4,2,5,0.21998598833929656,0.21994078339205586,0.00021639005859819434,0.00010283212416793029,0.0009836538237355554,0.22032184638759095,0.22032184638759092,5.551115123125783e-17,2.98707770531097e-17,2.519548203749274e-16,0.00040738825085089893,0.0003810629955350586,0.0018490597166393574,0.0,1.1102230246251565e-16,1.4052347001877065e-16,2.220446049250313e-16
2,0,2,12,1,5,0.3119165544739758,0.3119165544739759,1.1102230246251565e-16,8.308364967842742e-17,3.5593590936443406e-16,0.31158214324841277,0.31158214324841277,2.7755575615628914e-17,1.3591083316149652e-17,8.907948101987486e-17,0.0008855355288437828,0.0008855355288436804,0.0028390142047355345,0.0,1.1102230246251565e-16,1.4052347001877065e-16,2.220446049250313e-16
2,1,0,2,2,5,0.15365053351267832,0.15319415119919175,0.00047455801717893875,0.0003964063465533575,0.0030885543078168426,0.15245128960260035,0.15245128960260035,8.326672684688674e-17,4.8956038961175694e-17,5.461857821205762e-16,0.001199243910077974,0.0007428615965913987,0.007805009736455093,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.0
2,1,2,3,1,5,0.4850194979667191,0.4855065020827318,0.0008994911129363188,0.0004847562473358149,0.0018526860280504397,0.48596632130200845,0.4859663213020087,2.220446049250313e-16,1.2210195536399913e-16,4.569135662120081e-16,0.0009468233352893374,0.0016990512994024473,0.0034962326089806434,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.0
2,2,0,19,0,5,0.3452234360264013,0.34534856215213017,0.00021639005859780402,0.00010283212416777794,0.0006265845071116342,0.3453692912208002,0.3453692912208002,5.551115123125783e-17,2.878723931740601e-17,1.6072984090461202e-16,0.0005044725333081812,0.0005496774805491544,0.0015915644341341765,0.0,1.1102230246251565e-16,1.4005488490199817e-16,2.220446049250313e-16
2,2,1,7,2,5,0.34522343602640115,0.34534856215213006,0.00021639005859797056,0.00010283212416783329,0.0006265845071121165,0.3453692912208002,0.3453692912208002,5.551115123125783e-17,2.878723931740601e-17,1.6072984090461202e-16,0.0005044725333085975,0.0005496774805491544,0.0015915644341341765,0.0,1.1102230246251565e-16,1.617713497810755e-16,2.220446049250313e-16
2,3,0,18,0,5,0.21998598833929656,0.2199407833920556,0.00021639005859791505,0.00010283212416787148,0.0009836538237342858,0.22032184638759092,0.22032184638759095,5.551115123125783e-17,2.98707770531097e-17,2.519548203749274e-16,0.0004073882508507289,0.0003810629955353362,0.0018490597166385856,0.0,1.1102230246251565e-16,1.4005488490199817e-16,2.220446049250313e-16
2,3,2,14,1,5,0.311916554473976,0.311916554473976,2.7755575615628914e-16,1.6749132105430158e-16,8.89839773411085e-16,0.31158214324841277,0.31158214324841277,2.7755575615628914e-17,1.3591083316149652e-17,8.907948101987486e-17,0.0008855355288437221,0.0008855355288437689,0.0028390142047354894,0.0,1.1102230246251565e-16,1.617713497810755e-16,2.220446049250313e-16
2,4,0,5,1,5,0.37225646483175057,0.3722440187329169,0.0013558734264229877,0.000700851014994619,0.0036423099516506834,0.37257311588360315,0.37257311588360303,1.1102230246251565e-16,5.51456058134677e-17,2.9798795922033333e-16,0.0009561897028112498,0.0008517271903037416,0.002566448468895905,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0
