ndivs,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_projected_M,max_abs_projected_P,max_abs_projected_mismatch,weighted_l2_projected_mismatch,relative_projected_mismatch,max_abs_direct_M,max_abs_direct_P,max_abs_direct_mismatch,weighted_l2_direct_mismatch,relative_direct_mismatch,max_abs_projected_minus_direct_M,max_abs_projected_minus_direct_P,relative_projected_direct_difference,max_abs_decomposition_error,max_face_coordinate_mismatch,max_face_conormal_mismatch,max_face_jacobian_mismatch
8,0,0,1,1,5,0.07093433899563689,0.07093433150055356,9.728301941791528e-09,4.74351372157439e-09,1.371451694557964e-07,0.07093427954276603,0.07093427954276604,1.3877787807814457e-17,9.577093645457362e-18,1.9564289504692276e-16,6.72320019934336e-08,5.750370003776428e-08,9.478061393871448e-07,0.0,7.806255641895632e-18,1.1102230246251565e-16,5.551115123125783e-17
8,0,1,64,2,5,0.008480334017751733,0.008480334479588474,1.1114093257909644e-09,5.799790193829202e-10,1.3105725115749182e-07,0.008480363384296884,0.008480363384296884,4.336808689942018e-19,2.594041654646369e-19,5.113942048724587e-17,2.9366545150483203e-08,2.8904708409757673e-08,3.462887593338433e-06,0.0,7.806255641895632e-18,2.1298947178887057e-17,2.7755575615628914e-17
8,0,2,192,1,5,0.062469601849366195,0.062469601849366244,4.85722573273506e-17,2.7132639960347637e-17,7.775342869076308e-16,0.06246959160842931,0.06246959160842929,2.0816681711721685e-17,7.16479347490296e-18,3.3322903473108015e-16,3.37250457144167e-08,3.3725045686661126e-08,5.39863304967724e-07,0.0,7.806255641895632e-18,2.1298947178887057e-17,2.7755575615628914e-17
8,1,0,2,2,5,0.07016013881991913,0.07016017403681547,7.454658083189125e-08,3.113436889612562e-08,1.0625198961561024e-06,0.0701601553790159,0.07016015537901592,1.3877787807814457e-17,9.577093645457362e-18,1.9780155464087159e-16,1.8848566235574182e-08,5.569801461019486e-08,7.938693906455844e-07,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.0
8,1,2,15,1,5,0.008024879992413431,0.008024924129667434,7.021449351714976e-08,3.142956419797021e-08,8.749552317581794e-06,0.008024901649182105,0.008024901649182105,6.938893903907228e-18,2.4389747717921796e-18,8.646702735122539e-16,2.165676867352251e-08,5.220488760639824e-08,6.505343447846615e-06,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.0
8,2,0,3,1,5,0.09291057060456888,0.09291058082586881,7.254451581117927e-08,4.2298237823176905e-08,7.807992928936778e-07,0.09291047308790563,0.09291047308790565,4.163336342344337e-17,2.2190304557974454e-17,4.481019420066097e-16,1.3795369799285417e-07,1.0773796316199125e-07,1.4848007273940553e-06,0.0,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17
8,2,1,79,2,5,0.02453402580953264,0.024534025523322664,4.081781331335965e-09,1.9936224521134993e-09,1.6637226042820898e-07,0.02453407823855643,0.024534078238556425,5.204170427930421e-18,2.8120091139740038e-18,2.1212007140956405e-16,5.24290237891023e-08,5.271523376149112e-08,2.1486535279180253e-06,0.0,2.7755575615628914e-17,4.310792136225502e-17,2.7755575615628914e-17
8,3,0,4,2,5,0.07239527692392887,0.0723953021590036,7.518186249944048e-08,3.0245990792870155e-08,1.038490900063055e-06,0.07239527879006483,0.07239527879006485,2.7755575615628914e-17,1.2201382997813517e-17,3.83389304931276e-16,1.980141028923299e-08,5.538045221020749e-08,7.649730101073966e-07,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.7755575615628914e-17
8,3,2,17,1,5,0.02786184373360352,0.027861674211998366,1.6952160515268377e-07,8.448790889683558e-08,6.084364221317763e-06,0.027861761257669503,0.027861761257669503,4.336808689942018e-18,2.4143014784278147e-18,1.556545061826709e-16,8.247593401636277e-08,9.649454656059792e-08,3.4633223660004273e-06,0.0,2.7755575615628914e-17,1.1102230246251565e-16,2.7755575615628914e-17
8,4,0,5,1,5,0.11616428343226931,0.11616433944329277,2.1302408172163556e-07,1.0954655539913088e-07,1.8338164943091353e-06,0.11616418321285583,0.11616418321285585,4.163336342344337e-17,2.2698564833567498e-17,3.5840103439763023e-16,1.9783294390174344e-07,1.5623043692070127e-07,1.703043678032692e-06,0.0,1.1102230246251565e-16,2.220446049250313e-16,2.7755575615628914e-17
