order,ndivs,element,face,reference_face_id,neighbor_element,neighbor_face,neighbor_reference_face_id,max_abs_projected_mismatch,max_abs_direct_mismatch,max_abs_delta_M,max_abs_delta_P,max_abs_delta_M_plus_delta_P,max_abs_projected_minus_delta_sum,max_abs_decomposition_error
4,4,0,0,1,1,1,2,4.369135048684636e-06,5.551115123125783e-17,9.722280612828316e-06,5.353145564129802e-06,4.369135048698514e-06,5.551115123125783e-17,0.0
4,4,0,1,2,16,2,3,3.523578166395036e-07,1.3877787807814457e-17,3.6725309246199433e-06,3.562688730390784e-06,3.5235781664123833e-07,1.3877787807814457e-17,0.0
4,4,0,2,3,48,1,2,1.1102230246251565e-16,1.3877787807814457e-17,4.9805901758542825e-06,4.980590175771016e-06,1.1102230246251565e-16,1.3877787807814457e-17,0.0
4,4,1,0,1,2,2,3,1.1071006163682062e-05,2.7755575615628914e-17,4.78100725792574e-06,6.2899989057285666e-06,1.1071006163654307e-05,2.7755575615628914e-17,0.0
4,4,1,2,3,7,1,2,7.517246560645452e-06,1.3877787807814457e-17,4.258006123358804e-06,7.31698555851007e-06,7.517246560631574e-06,1.3877787807814457e-17,0.0
4,4,2,0,1,3,1,2,2.74134146648064e-05,5.551115123125783e-17,1.9179663044988082e-05,1.3755209298582649e-05,2.74134146648064e-05,5.551115123125783e-17,0.0
4,4,2,1,2,23,2,3,3.1857716087241306e-06,2.7755575615628914e-17,9.182896647114136e-06,5.997125038376128e-06,3.1857716087380084e-06,2.7755575615628914e-17,0.0
4,4,3,0,1,4,2,3,1.053576685712456e-05,5.637851296924623e-17,1.6108724821717324e-05,1.1447012390778874e-05,1.053576685718094e-05,5.637851296924623e-17,0.0
4,4,3,2,3,9,1,2,6.200855318883036e-06,2.7755575615628914e-17,2.9423283582616366e-05,2.596372281324366e-05,6.200855318910792e-06,2.7755575615628914e-17,0.0
4,4,4,0,1,5,1,2,5.80048979309522e-06,5.551115123125783e-17,4.32582058182418e-06,1.974781155211769e-06,5.800489793067465e-06,5.551115123125783e-17,0.0
4,4,4,1,2,28,2,3,3.1857716086547416e-06,2.7755575615628914e-17,5.099188071594485e-06,5.161605681258674e-06,3.1857716086547416e-06,2.7755575615628914e-17,0.0
4,4,5,0,1,6,2,3,7.208578001183241e-07,4.5102810375396984e-17,2.7769308345356597e-06,2.1989227083178686e-06,7.208578001426102e-07,4.5102810375396984e-17,0.0
4,4,5,2,3,11,1,2,5.800489793206243e-06,2.7755575615628914e-17,1.9747811552395245e-06,4.325820581768669e-06,5.800489793206243e-06,2.7755575615628914e-17,0.0
4,4,6,0,1,79,0,1,3.523578166741981e-07,2.7755575615628914e-17,1.4179014453385985e-06,1.3080592511649503e-06,3.5235781670195365e-07,2.7755575615628914e-17,0.0
4,4,6,1,2,31,2,3,3.523578165354202e-07,2.7755575615628914e-17,1.4179014454218652e-06,1.3080592511649503e-06,3.523578165076646e-07,2.7755575615628914e-17,0.0
4,4,7,0,1,8,1,2,2.2177600862649527e-05,8.326672684688674e-17,2.08289858271149e-05,1.9951111229752662e-05,2.2177600862732794e-05,8.326672684688674e-17,0.0
4,4,7,2,3,50,1,2,5.0306980803327406e-17,2.42861286636753e-17,1.1096313109928979e-05,1.109631310998449e-05,5.551115123125783e-17,2.42861286636753e-17,0.0
4,4,8,0,1,9,2,3,1.6404831480257287e-05,2.7755575615628914e-17,3.7077855980782726e-05,2.067302450052544e-05,1.6404831480257287e-05,2.7755575615628914e-17,0.0
4,4,8,2,3,12,1,2,2.2177600862649527e-05,5.551115123125783e-17,1.9951111229778683e-05,2.0828985827087143e-05,2.2177600862649527e-05,5.551115123125783e-17,0.0
4,4,9,0,1,10,1,2,6.200855318883036e-06,5.551115123125783e-17,2.5963722813021617e-05,2.9423283582560855e-05,6.200855318883036e-06,5.551115123125783e-17,0.0
4,4,10,0,1,11,2,3,1.053576685701961e-05,2.7755575615628914e-17,1.610872482167569e-05,1.144701239075719e-05,1.05357668570066e-05,2.7755575615628914e-17,0.0
4,4,10,2,3,14,1,2,2.7413414664723135e-05,5.551115123125783e-17,1.375520929863816e-05,1.9179663044988082e-05,2.741341466469538e-05,5.551115123125783e-17,0.0
4,4,11,0,1,78,0,1,3.185771608682497e-06,2.7755575615628914e-17,5.099188071538974e-06,5.161605681258674e-06,3.185771608682497e-06,2.7755575615628914e-17,0.0
4,4,12,0,1,13,1,2,7.5172465606038186e-06,1.3877787807814457e-17,7.316985558461497e-06,4.2580061233310484e-06,7.5172465606038186e-06,1.3877787807814457e-17,0.0
4,4,12,2,3,52,1,2,9.71445146547012e-17,2.42861286636753e-17,1.1096313110012246e-05,1.1096313109998368e-05,9.71445146547012e-17,2.42861286636753e-17,0.0
4,4,13,0,1,14,2,3,1.107100616357104e-05,2.7755575615628914e-17,4.781007257953496e-06,6.289998905631422e-06,1.1071006163584918e-05,2.7755575615628914e-17,0.0
4,4,13,2,3,15,1,2,4.369135048587491e-06,2.7755575615628914e-17,5.353145564185313e-06,9.722280612758927e-06,4.3691350485736136e-06,2.7755575615628914e-17,0.0
4,4,14,0,1,75,0,1,3.1857716087102528e-06,2.7755575615628914e-17,9.182896647114136e-06,5.997125038417761e-06,3.185771608696375e-06,2.7755575615628914e-17,0.0
4,4,15,0,1,70,0,1,3.523578166186869e-07,1.3877787807814457e-17,3.672530924633821e-06,3.5626887304324173e-06,3.523578166169522e-07,1.3877787807814457e-17,0.0
4,4,15,2,3,54,1,2,9.71445146547012e-17,1.3877787807814457e-17,4.980590175798771e-06,4.9805901758542825e-06,9.71445146547012e-17,1.3877787807814457e-17,0.0
4,4,16,0,1,17,1,2,4.9471431746855865e-06,8.326672684688674e-17,7.5233579043820775e-06,2.5762147296548576e-06,4.94714317472722e-06,8.326672684688674e-17,0.0
4,4,16,1,2,32,2,3,1.1102230246251565e-16,5.551115123125783e-17,2.2546294791703225e-06,2.2546294791703225e-06,1.1102230246251565e-16,5.551115123125783e-17,0.0
4,4,17,0,1,18,2,3,5.27051637060072e-06,4.163336342344337e-17,3.3063380466824555e-06,1.964178323918264e-06,5.27051637060072e-06,4.163336342344337e-17,0.0
4,4,17,2,3,23,1,2,1.7462472525209272e-06,1.6653345369377348e-16,2.783336912004497e-06,3.33678490269107e-06,1.7462472525486827e-06,1.6653345369377348e-16,0.0
4,4,18,0,1,19,1,2,1.6877647807722607e-05,2.7755575615628914e-17,7.732650654318496e-06,9.144997153376355e-06,1.687764780769485e-05,2.7755575615628914e-17,0.0
4,4,18,1,2,39,2,3,2.7755575615628914e-16,5.551115123125783e-17,4.083708575519651e-06,4.083708575575162e-06,2.7755575615628914e-16,5.551115123125783e-17,0.0
4,4,19,0,1,20,2,3,1.6877647807611584e-05,8.326672684688674e-17,9.144997153487378e-06,7.732650654096451e-06,1.687764780758383e-05,8.326672684688674e-17,0.0
4,4,19,2,3,25,1,2,7.976065325099313e-06,5.551115123125783e-17,9.82885936895439e-06,1.5896563417661103e-05,7.976065325043802e-06,5.551115123125783e-17,0.0
4,4,20,0,1,21,1,2,5.270516370461942e-06,2.7755575615628914e-17,1.964178323876631e-06,3.306338046585311e-06,5.270516370461942e-06,2.7755575615628914e-17,0.0
4,4,20,1,2,44,2,3,1.6653345369377348e-16,5.551115123125783e-17,4.083708575575162e-06,4.083708575408629e-06,1.6653345369377348e-16,5.551115123125783e-17,0.0
4,4,21,0,1,22,2,3,4.9471431746855865e-06,1.1102230246251565e-16,2.5762147296826132e-06,7.523357904409833e-06,4.94714317472722e-06,1.1102230246251565e-16,0.0
4,4,21,2,3,27,1,2,1.746247252465416e-06,5.551115123125783e-17,2.783336912004497e-06,3.336784902552292e-06,1.746247252465416e-06,5.551115123125783e-17,0.0
4,4,22,0,1,95,0,1,3.523578166186869e-07,1.3877787807814457e-17,3.5626887304324173e-06,3.672530924633821e-06,3.523578166169522e-07,1.3877787807814457e-17,0.0
4,4,22,1,2,47,2,3,1.3877787807814457e-16,5.551115123125783e-17,2.254629479142567e-06,2.254629479281345e-06,1.6653345369377348e-16,5.551115123125783e-17,0.0
4,4,23,0,1,24,1,2,1.1641834005593488e-05,8.326672684688674e-17,1.0514923656598785e-05,3.842386408117737e-06,1.1641834005676754e-05,8.326672684688674e-17,0.0
4,4,24,0,1,25,2,3,1.922026542286459e-05,5.551115123125783e-17,1.3929567110410046e-05,1.1446905066464508e-05,1.922026542286459e-05,5.551115123125783e-17,0.0
4,4,24,2,3,28,1,2,5.2358138019625855e-06,1.1102230246251565e-16,9.23560941945567e-06,7.559227720888018e-06,5.235813801907074e-06,1.1102230246251565e-16,0.0
4,4,25,0,1,26,1,2,1.9220265422725813e-05,2.7755575615628914e-17,1.1446905066520019e-05,1.392956711032678e-05,1.9220265422725813e-05,2.7755575615628914e-17,0.0
4,4,26,0,1,27,2,3,1.1641834005648999e-05,8.326672684688674e-17,3.842386408173248e-06,1.0514923656543274e-05,1.1641834005593488e-05,8.326672684688674e-17,0.0
4,4,26,2,3,30,1,2,5.2358138019625855e-06,1.6653345369377348e-16,9.235609419566693e-06,7.559227720888018e-06,5.235813801796052e-06,1.6653345369377348e-16,0.0
4,4,27,0,1,94,0,1,3.1857716087102528e-06,2.7755575615628914e-17,5.997125038417761e-06,9.182896647114136e-06,3.185771608696375e-06,2.7755575615628914e-17,0.0
4,4,28,0,1,29,1,2,3.6257868834821405e-06,2.7755575615628914e-17,3.030758468414163e-06,1.6836089878069505e-06,3.625786883454385e-06,2.7755575615628914e-17,0.0
4,4,29,0,1,30,2,3,3.6257868833433626e-06,2.7755575615628914e-17,1.6836089877236837e-06,3.0307584683864075e-06,3.6257868833433626e-06,2.7755575615628914e-17,0.0
4,4,29,2,3,31,1,2,2.2533270133684447e-06,5.551115123125783e-17,2.276760608932449e-06,2.260477037330233e-06,2.2533270133684447e-06,5.551115123125783e-17,0.0
