order,ndivs,n_elements,n_points_per_element,total_dofs,hmin,max_projected_reconstruction_error,max_face1_combined_error,l2_face1_combined_error,relative_face1_combined_error,face1_rate,max_face2_alpha_error,l2_face2_alpha_error,relative_face2_alpha_error,face2_alpha_rate,max_face3_beta_error,l2_face3_beta_error,relative_face3_beta_error,face3_beta_rate,max_single_side_projected_direct_difference,single_side_projected_direct_difference_rate,max_projected_interface_mismatch,max_direct_interface_mismatch,max_delta_sum,max_projected_minus_delta_sum,max_interface_decomposition_error,projected_interface_mismatch_rate,dominant_face_error_type,empirical_convergence_interpretation,classification,single_side_csv,interface_csv
4,1,8,22,176,1.5711711711711716,0.0,0.034419346695548025,0.051673592775275605,0.027013953479737476,nan,0.03441934669554758,0.0516735927752758,0.027013953479737115,nan,0.03280999338882307,0.0493181458197858,0.049727468106339184,nan,0.034419346695548025,nan,0.030896237809314275,5.551115123125783e-17,0.030896237809314275,5.551115123125783e-17,0.0,nan,face1_combined,"face1: approximately fifth order, face2_alpha: approximately fifth order, face3_beta: approximately fifth order, interface: approximately fifth order",Projection-induced interface metric incompatibility confirmed,single_side_ndiv1.csv,interfaces_ndiv1.csv
4,2,32,22,704,0.785398279620715,0.0,0.0016990512994026104,0.0027563013331718305,0.002339255714830148,4.338925716960214,0.0016990512994024473,0.0024332055087658636,0.002341089690453844,4.3389257169603335,0.0016990512994025063,0.0026877907560000852,0.0023392557148300065,4.2698650641731675,0.0016990512994026104,4.338925716960214,0.0013558734264230154,2.220446049250313e-16,0.0013558734264230154,2.220446049250313e-16,0.0,4.508585716333952,face1_combined,"face1: approximately fifth order, face2_alpha: approximately fifth order, face3_beta: approximately fifth order, interface: approximately fifth order",Projection-induced interface metric incompatibility confirmed,single_side_ndiv2.csv,interfaces_ndiv2.csv
4,4,128,22,2816,0.32175055440225403,0.0,3.7077855980782726e-05,6.863356837077757e-05,9.785680411643347e-05,4.285907392454333,2.9423283582644122e-05,6.393354990954857e-05,7.765407457194878e-05,4.545017512937734,3.707785598081048e-05,6.694950750374996e-05,9.785605964795219e-05,4.285907392453425,3.707785598081048e-05,4.285907392453494,2.74134146648064e-05,1.6653345369377348e-16,2.74134146648064e-05,1.6653345369377348e-16,0.0,4.371476658164946,face3_beta,"face1: approximately fifth order, face2_alpha: approximately fifth order, face3_beta: approximately fifth order, interface: approximately fifth order",Projection-induced interface metric incompatibility confirmed,single_side_ndiv4.csv,interfaces_ndiv4.csv
4,8,512,22,11264,0.14189705460416463,0.0,5.080303647486684e-07,1.8361859131644499e-06,2.651024785934968e-06,5.240462121506978,5.08030364707035e-07,1.7135660170148685e-06,2.6510248803552064e-06,4.958013444390339,5.08030364707035e-07,1.7704280049234495e-06,2.6510247857177166e-06,5.240462121607994,5.080303647486684e-07,5.240462121507893,3.601218025485464e-07,1.1102230246251565e-16,3.601218025485464e-07,1.1102230246251565e-16,0.0,5.291900701946708,face1_combined,"face1: approximately fifth order, face2_alpha: approximately fifth order, face3_beta: approximately fifth order, interface: approximately fifth order",Projection-induced interface metric incompatibility confirmed,single_side_ndiv8.csv,interfaces_ndiv8.csv
