order,ndivs,element,face,reference_face_id,neighbor_element,neighbor_face,neighbor_reference_face_id,max_abs_projected_mismatch,max_abs_direct_mismatch,max_abs_delta_M,max_abs_delta_P,max_abs_delta_M_plus_delta_P,max_abs_projected_minus_delta_sum,max_abs_decomposition_error
4,2,0,0,1,1,1,2,0.0008994911129364194,2.7755575615628914e-17,0.0016990512994025306,0.0009468233352894484,0.0008994911129364021,2.7755575615628914e-17,0.0
4,2,0,1,2,4,2,3,0.00021639005859819434,5.551115123125783e-17,0.00040738825085089893,0.0003810629955350586,0.00021639005859820648,5.551115123125783e-17,0.0
4,2,0,2,3,12,1,2,1.1102230246251565e-16,2.7755575615628914e-17,0.0008855355288437828,0.0008855355288436804,1.1102230246251565e-16,2.7755575615628914e-17,0.0
4,2,1,0,1,2,2,3,0.00047455801717893875,8.326672684688674e-17,0.001199243910077974,0.0007428615965913987,0.00047455801717899426,8.326672684688674e-17,0.0
4,2,1,2,3,3,1,2,0.0008994911129363188,2.220446049250313e-16,0.0009468233352893374,0.0016990512994024473,0.0008994911129363362,2.220446049250313e-16,0.0
4,2,2,0,1,19,0,1,0.00021639005859780402,5.551115123125783e-17,0.0005044725333081812,0.0005496774805491544,0.00021639005859780402,5.551115123125783e-17,0.0
4,2,2,1,2,7,2,3,0.00021639005859797056,5.551115123125783e-17,0.0005044725333085975,0.0005496774805491544,0.00021639005859797056,5.551115123125783e-17,0.0
4,2,3,0,1,18,0,1,0.00021639005859791505,5.551115123125783e-17,0.0004073882508507289,0.0003810629955353362,0.0002163900585979029,5.551115123125783e-17,0.0
4,2,3,2,3,14,1,2,2.7755575615628914e-16,2.7755575615628914e-17,0.0008855355288437221,0.0008855355288437689,2.7755575615628914e-16,2.7755575615628914e-17,0.0
4,2,4,0,1,5,1,2,0.0013558734264229877,1.1102230246251565e-16,0.0009561897028112498,0.0008517271903037416,0.0013558734264230154,1.1102230246251565e-16,0.0
4,2,4,1,2,8,2,3,2.7755575615628914e-16,1.1102230246251565e-16,0.0002639752175404575,0.00026397521754073505,3.3306690738754696e-16,1.1102230246251565e-16,0.0
4,2,5,0,1,6,2,3,0.0013558734264226546,1.1102230246251565e-16,0.000851727190303686,0.0009561897028110278,0.0013558734264226546,1.1102230246251565e-16,0.0
4,2,5,2,3,7,1,2,0.0009850242708375756,1.1102230246251565e-16,0.0011808243409899832,0.0007604168247729026,0.0009850242708374646,1.1102230246251565e-16,0.0
4,2,6,0,1,23,0,1,0.00021639005859791505,5.551115123125783e-17,0.0003810629955353362,0.0004073882508507289,0.0002163900585979029,5.551115123125783e-17,0.0
4,2,6,1,2,11,2,3,3.3306690738754696e-16,1.1102230246251565e-16,0.000263975217540513,0.00026397521754017994,3.3306690738754696e-16,1.1102230246251565e-16,0.0
4,2,7,0,1,22,0,1,0.00021639005859780402,5.551115123125783e-17,0.0005496774805491544,0.0005044725333081812,0.00021639005859780402,5.551115123125783e-17,0.0
4,2,8,0,1,9,1,2,0.0013558734264227656,0.0,0.0009561897028112498,0.000851727190303686,0.0013558734264227656,0.0,0.0
4,2,8,1,2,12,2,3,0.00021639005859820475,5.551115123125783e-17,0.0003810629955350864,0.0004073882508508781,0.0002163900585981926,5.551115123125783e-17,0.0
4,2,9,0,1,10,2,3,0.0009850242708377976,1.1102230246251565e-16,0.0011808243409903163,0.0007604168247729026,0.0009850242708377976,1.1102230246251565e-16,0.0
4,2,9,2,3,11,1,2,0.0013558734264230154,5.551115123125783e-17,0.0008517271903037416,0.0009561897028111943,0.00135587342642296,5.551115123125783e-17,0.0
4,2,10,0,1,27,0,1,0.00021639005859785954,5.551115123125783e-17,0.0005496774805493487,0.0005044725333082645,0.00021639005859785954,5.551115123125783e-17,0.0
4,2,10,1,2,15,2,3,0.00021639005859830363,5.551115123125783e-17,0.0005496774805493487,0.0005044725333084032,0.00021639005859830363,5.551115123125783e-17,0.0
4,2,11,0,1,26,0,1,0.00021639005859802607,5.551115123125783e-17,0.00038106299553516965,0.0004073882508507966,0.0002163900585980382,5.551115123125783e-17,0.0
4,2,12,0,1,13,1,2,0.0008994911129363674,5.551115123125783e-17,0.0016990512994026104,0.0009468233352895594,0.0008994911129363847,5.551115123125783e-17,0.0
4,2,13,0,1,14,2,3,0.0008994911129362217,5.551115123125783e-17,0.0009468233352895039,0.0016990512994025063,0.0008994911129362078,5.551115123125783e-17,0.0
4,2,13,2,3,15,1,2,0.00047455801717907753,8.326672684688674e-17,0.001199243910077863,0.0007428615965914265,0.00047455801717899426,8.326672684688674e-17,0.0
4,2,14,0,1,31,0,1,0.00021639005859802607,5.551115123125783e-17,0.0004073882508507966,0.00038106299553516965,0.0002163900585980382,5.551115123125783e-17,0.0
4,2,15,0,1,30,0,1,0.00021639005859785954,5.551115123125783e-17,0.0005044725333082645,0.0005496774805493487,0.00021639005859785954,5.551115123125783e-17,0.0
4,2,16,0,1,17,1,2,0.0013558734264229877,1.1102230246251565e-16,0.0009561897028112498,0.0008517271903037416,0.0013558734264230154,1.1102230246251565e-16,0.0
4,2,16,1,2,28,2,3,2.7755575615628914e-16,1.1102230246251565e-16,0.0002639752175404575,0.00026397521754073505,3.3306690738754696e-16,1.1102230246251565e-16,0.0
4,2,16,2,3,20,1,2,0.00021639005859819434,5.551115123125783e-17,0.0003810629955350586,0.00040738825085089893,0.00021639005859820648,5.551115123125783e-17,0.0
4,2,17,0,1,18,2,3,0.0013558734264226546,1.1102230246251565e-16,0.000851727190303686,0.0009561897028110278,0.0013558734264226546,1.1102230246251565e-16,0.0
4,2,17,2,3,19,1,2,0.0009850242708375756,1.1102230246251565e-16,0.0011808243409899832,0.0007604168247729026,0.0009850242708374646,1.1102230246251565e-16,0.0
4,2,18,1,2,31,2,3,3.3306690738754696e-16,1.1102230246251565e-16,0.000263975217540513,0.00026397521754017994,3.3306690738754696e-16,1.1102230246251565e-16,0.0
4,2,19,2,3,22,1,2,0.00021639005859797056,5.551115123125783e-17,0.0005496774805491544,0.0005044725333085975,0.00021639005859797056,5.551115123125783e-17,0.0
4,2,20,0,1,21,1,2,0.0008994911129364194,2.7755575615628914e-17,0.0016990512994025306,0.0009468233352894484,0.0008994911129364021,2.7755575615628914e-17,0.0
4,2,20,2,3,24,1,2,1.1102230246251565e-16,2.7755575615628914e-17,0.0008855355288437828,0.0008855355288436804,1.1102230246251565e-16,2.7755575615628914e-17,0.0
4,2,21,0,1,22,2,3,0.00047455801717893875,8.326672684688674e-17,0.001199243910077974,0.0007428615965913987,0.00047455801717899426,8.326672684688674e-17,0.0
4,2,21,2,3,23,1,2,0.0008994911129363188,2.220446049250313e-16,0.0009468233352893374,0.0016990512994024473,0.0008994911129363362,2.220446049250313e-16,0.0
4,2,23,2,3,26,1,2,2.7755575615628914e-16,2.7755575615628914e-17,0.0008855355288437221,0.0008855355288437689,2.7755575615628914e-16,2.7755575615628914e-17,0.0
4,2,24,0,1,25,1,2,0.0008994911129363674,5.551115123125783e-17,0.0016990512994026104,0.0009468233352895594,0.0008994911129363847,5.551115123125783e-17,0.0
4,2,24,2,3,28,1,2,0.00021639005859820475,5.551115123125783e-17,0.0004073882508508781,0.0003810629955350864,0.0002163900585981926,5.551115123125783e-17,0.0
4,2,25,0,1,26,2,3,0.0008994911129362217,5.551115123125783e-17,0.0009468233352895039,0.0016990512994025063,0.0008994911129362078,5.551115123125783e-17,0.0
4,2,25,2,3,27,1,2,0.00047455801717907753,8.326672684688674e-17,0.001199243910077863,0.0007428615965914265,0.00047455801717899426,8.326672684688674e-17,0.0
4,2,27,2,3,30,1,2,0.00021639005859830363,5.551115123125783e-17,0.0005044725333084032,0.0005496774805493487,0.00021639005859830363,5.551115123125783e-17,0.0
4,2,28,0,1,29,1,2,0.0013558734264227656,0.0,0.0009561897028112498,0.000851727190303686,0.0013558734264227656,0.0,0.0
4,2,29,0,1,30,2,3,0.0009850242708377976,1.1102230246251565e-16,0.0011808243409903163,0.0007604168247729026,0.0009850242708377976,1.1102230246251565e-16,0.0
4,2,29,2,3,31,1,2,0.0013558734264230154,5.551115123125783e-17,0.0008517271903037416,0.0009561897028111943,0.00135587342642296,5.551115123125783e-17,0.0
