order,ndivs,element,face,reference_face_id,face_node,R_alpha,R_beta,term_alpha,term_beta,a_projected,a_direct,delta,abs_delta,relative_delta,delta_alpha_trace,delta_beta_trace
4,2,0,0,1,0,-0.005642703740202173,-0.005345655392131418,-0.011285407480404346,-0.010691310784262836,-0.021976718264667183,-0.023675769564069714,0.0016990512994025306,0.0016990512994025306,0.07176329769575923,nan,nan
4,2,0,0,1,1,-0.037789832868550685,-0.03523552922940771,-0.07557966573710137,-0.07047105845881542,-0.1460507241959168,-0.14578670504679236,-0.00026401914912443925,0.00026401914912443925,0.0018077222867465968,nan,nan
4,2,0,0,1,2,-0.09064480360148303,-0.09079327909250692,-0.18128960720296605,-0.18158655818501385,-0.3628761653879799,-0.3627598728468438,-0.00011629254113609822,0.00011629254113609822,0.00032047445445131556,nan,nan
4,2,0,0,1,3,-0.11776563944201236,-0.12498761159935345,-0.23553127888402473,-0.2499752231987069,-0.4855065020827316,-0.4859663213020086,0.0004598192192770134,0.0004598192192770134,0.0009461956500299414,nan,nan
4,2,0,0,1,4,-0.11411196593134734,-0.1268721704919027,-0.22822393186269468,-0.2537443409838054,-0.48196827284650007,-0.4810296383718707,-0.0009386344746293851,0.0009386344746293851,0.001947502621045611,nan,nan
4,2,0,1,2,0,-0.10999299416964828,-0.1282358661011546,0.21998598833929656,0.0,0.21998598833929656,0.22032184638759095,-0.0003358580482943907,0.0003358580482943907,0.001524397393182463,-0.0003358580482943907,nan
4,2,0,1,2,1,-0.10076650534525308,-0.14310105090570743,0.20153301069050616,0.0,0.20153301069050616,0.2014746714686378,5.833922186837537e-05,5.833922186837537e-05,0.00028947725074165043,5.833922186837537e-05,nan
4,2,0,1,2,2,-0.0704729979633662,-0.15974491293860046,0.1409459959267324,0.0,0.1409459959267324,0.14085064543332929,9.535049340311796e-05,9.535049340311796e-05,0.0006765037401465719,9.535049340311796e-05,nan
4,2,0,1,2,3,-0.03033302598619072,-0.16381260654575627,0.06066605197238144,0.0,0.06066605197238144,0.060441078355189054,0.00022497361719238385,0.00022497361719238385,0.0037083939019932326,0.00022497361719238385,nan
4,2,0,1,2,4,-0.005218309893556016,-0.15908684885906532,0.010436619787112031,0.0,0.010436619787112031,0.01084400803796293,-0.00040738825085089893,0.00040738825085089893,0.03756805135377119,-0.00040738825085089893,nan
4,2,0,2,3,0,0.0020304227030278972,-0.1559582772369879,0.0,0.3119165544739758,0.3119165544739758,0.31158214324841277,0.00033441122556304714,0.00033441122556304714,0.0010721175928831573,nan,0.00033441122556304714
4,2,0,2,3,1,0.009554118508232103,-0.1423412550898743,0.0,0.2846825101797486,0.2846825101797486,0.28492821286561115,-0.00024570268586254773,0.00024570268586254773,0.0008623318954323261,nan,-0.00024570268586254773
4,2,0,2,3,2,0.014679684103315969,-0.09957824300148616,0.0,0.1991564860029723,0.1991564860029723,0.19919289304081836,-3.640703784604793e-05,3.640703784604793e-05,0.00018277277512399723,nan,-3.640703784604793e-05
4,2,0,2,3,3,0.009565608705360901,-0.0425647385184965,0.0,0.085129477036993,0.085129477036993,0.0854765927343633,-0.00034711569737029546,0.00034711569737029546,0.004060944479256811,nan,-0.00034711569737029546
4,2,0,2,3,4,0.0016852451369478907,-0.008110639383306906,0.0,0.016221278766613813,0.016221278766613813,0.01533574323777003,0.0008855355288437828,0.0008855355288437828,0.054590981487006286,nan,0.0008855355288437828
4,2,1,0,1,0,-0.1639536650597908,0.24077893181612997,-0.3279073301195816,0.48155786363225994,0.15365053351267832,0.15245128960260035,0.001199243910077974,0.001199243910077974,0.007805009736455093,nan,nan
4,2,1,0,1,1,-0.19745175803067508,0.25383949764757624,-0.39490351606135016,0.5076789952951525,0.11277547923380232,0.11339320541840542,-0.0006177261846030957,0.0006177261846030957,0.005447647258261821,nan,nan
4,2,1,0,1,2,-0.24195996705142733,0.2419599670514274,-0.48391993410285467,0.4839199341028548,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,nan,nan
4,2,1,0,1,3,-0.25383949764757624,0.19745175803067522,-0.5076789952951525,0.39490351606135043,-0.11277547923380205,-0.11339320541840536,0.0006177261846033177,0.0006177261846033177,0.005447647258263782,nan,nan
4,2,1,0,1,4,-0.24077893181612978,0.1639536650597909,-0.48155786363225955,0.3279073301195818,-0.15365053351267777,-0.15245128960260032,-0.0011992439100774466,0.0011992439100774466,0.0078050097364516895,nan,nan
4,2,1,1,2,0,-0.24098736361173037,0.15754825863014182,0.48197472722346074,-0.0,0.48197472722346074,0.4810296383718707,0.0009450888515900591,0.0009450888515900591,0.001960868066743844,0.0009450888515900591,nan
4,2,1,1,2,1,-0.24250974898335959,0.1430080930554178,0.48501949796671917,-0.0,0.48501949796671917,0.4859663213020086,-0.0009468233352894484,0.0009468233352894484,0.0019483311780797987,-0.0009468233352894484,nan
4,2,1,1,2,2,-0.18158033008438942,0.09057507883889655,0.36316066016877885,-0.0,0.36316066016877885,0.3627598728468438,0.00040078732193504774,0.00040078732193504774,0.0011036088593648385,0.00040078732193504774,nan
4,2,1,1,2,3,-0.07277635202054587,0.029662435709505268,0.14555270404109175,-0.0,0.14555270404109175,0.1457867050467924,-0.00023400100570064586,0.00023400100570064586,0.001605091531669776,-0.00023400100570064586,nan
4,2,1,1,2,4,-0.011438104688801801,0.004824266463552267,0.022876209377603603,-0.0,0.022876209377603603,0.02367576956406973,-0.0007995601864661285,0.0007995601864661285,0.033771243815429695,-0.0007995601864661285,nan
4,2,1,2,3,0,-0.004824266463552232,0.011438104688801801,-0.0,-0.022876209377603603,-0.022876209377603603,-0.023675769564069714,0.0007995601864661112,0.0007995601864661112,0.03377124381542899,nan,0.0007995601864661112
4,2,1,2,3,1,-0.029662435709505355,0.07277635202054593,-0.0,-0.14555270404109186,-0.14555270404109186,-0.14578670504679234,0.00023400100570047933,0.00023400100570047933,0.0016050915316686344,nan,0.00023400100570047933
4,2,1,2,3,2,-0.09057507883889641,0.18158033008438926,-0.0,-0.3631606601687785,-0.3631606601687785,-0.3627598728468436,-0.0004007873219349367,0.0004007873219349367,0.0011036088593645338,nan,-0.0004007873219349367
4,2,1,2,3,3,-0.14300809305541784,0.24250974898335956,-0.0,-0.4850194979667191,-0.4850194979667191,-0.48596632130200845,0.0009468233352893374,0.0009468233352893374,0.0019483311780795708,nan,0.0009468233352893374
4,2,1,2,3,4,-0.15754825863014185,0.2409873636117304,-0.0,-0.4819747272234608,-0.4819747272234608,-0.4810296383718707,-0.0009450888515901146,0.0009450888515901146,0.001960868066743959,nan,-0.0009450888515901146
4,2,2,0,1,0,-0.1919476164544421,0.07386658537510753,-0.3838952329088842,0.14773317075021505,-0.23616206215866917,-0.23565758962536099,-0.0005044725333081812,0.0005044725333081812,0.0021361285919380374,nan,nan
4,2,2,0,1,1,-0.19819213867933133,0.05483525438215149,-0.39638427735866266,0.10967050876430298,-0.2867137685943597,-0.2869512642030011,0.00023749560864139152,0.00023749560864139152,0.0008276513759262527,nan,nan
4,2,2,0,1,2,-0.19492755096283382,0.024895274152650276,-0.38985510192566764,0.04979054830530055,-0.3400645536203671,-0.34004353847414764,-2.1015146219438563e-05,2.1015146219438563e-05,6.179752048753348e-05,nan,nan
4,2,2,0,1,3,-0.1775612732551573,0.004949555241956655,-0.3551225465103146,0.00989911048391331,-0.3452234360264013,-0.3453692912208002,0.0001458551943988584,0.0001458551943988584,0.0004223166277560295,nan,nan
4,2,2,0,1,4,-0.16141083043039922,0.00012604827055628275,-0.32282166086079844,0.0002520965411125655,-0.32256956431968586,-0.32242615128637564,-0.0001434130333102246,0.0001434130333102246,0.00044459567539389315,nan,nan
4,2,2,1,2,0,-0.16128478215984307,-0.00012604827055628324,0.32256956431968614,0.0,0.32256956431968614,0.32242615128637564,0.00014341303331050215,0.00014341303331050215,0.0004445956753947532,0.00014341303331050215,nan
4,2,2,1,2,1,-0.17261171801320058,-0.004949555241956675,0.34522343602640115,0.0,0.34522343602640115,0.3453692912208002,-0.00014585519439902495,0.00014585519439902495,0.0004223166277565117,-0.00014585519439902495,nan
4,2,2,1,2,2,-0.17003227681018354,-0.02489527415265022,0.3400645536203671,0.0,0.3400645536203671,0.34004353847414764,2.1015146219438563e-05,2.1015146219438563e-05,6.179752048753348e-05,2.1015146219438563e-05,nan
4,2,2,1,2,3,-0.1433568842971799,-0.05483525438215143,0.2867137685943598,0.0,0.2867137685943598,0.28695126420300104,-0.000237495608641225,0.000237495608641225,0.0008276513759256725,-0.000237495608641225,nan
4,2,2,1,2,4,-0.11808103107933478,-0.07386658537510754,0.23616206215866956,0.0,0.23616206215866956,0.23565758962536096,0.0005044725333085975,0.0005044725333085975,0.002136128591939797,0.0005044725333085975,nan
4,2,2,2,3,0,-0.11524826496928893,-0.07659707559959579,-0.0,0.15319415119919158,0.15319415119919158,0.15245128960260032,0.0007428615965912599,0.0007428615965912599,0.004849151163906707,nan,0.0007428615965912599
4,2,2,2,3,1,-0.13574858396256304,-0.05662501862549049,-0.0,0.11325003725098098,0.11325003725098098,0.11339320541840542,-0.0001431681674244345,0.0001431681674244345,0.0012625815356058024,nan,-0.0001431681674244345
4,2,2,2,3,2,-0.171083828394796,-1.463008131646137e-17,-0.0,2.926016263292274e-17,2.926016263292274e-17,0.0,2.926016263292274e-17,2.926016263292274e-17,1.0,nan,2.926016263292274e-17
4,2,2,2,3,3,-0.19237360258805355,0.05662501862549062,-0.0,-0.11325003725098123,-0.11325003725098123,-0.11339320541840534,0.00014316816742410143,0.00014316816742410143,0.001262581535602866,nan,0.00014316816742410143
4,2,2,2,3,4,-0.19184534056888483,0.07659707559959587,-0.0,-0.15319415119919175,-0.15319415119919175,-0.15245128960260035,-0.0007428615965913987,0.0007428615965913987,0.0048491511639076074,nan,-0.0007428615965913987
4,2,3,0,1,0,-0.16430515875262128,0.15908684885906518,-0.32861031750524256,0.31817369771813037,-0.010436619787112189,-0.010844008037962918,0.0004073882508507289,0.0004073882508507289,0.03756805135375556,nan,nan
4,2,3,0,1,1,-0.194145632531947,0.16381260654575625,-0.388291265063894,0.3276252130915125,-0.06066605197238151,-0.06044107835518904,-0.0002249736171924671,0.0002249736171924671,0.003708393901994601,nan,nan
4,2,3,0,1,2,-0.23021791090196655,0.1597449129386004,-0.4604358218039331,0.3194898258772008,-0.1409459959267323,-0.14085064543332929,-9.535049340300694e-05,9.535049340300694e-05,0.0006765037401457848,nan,nan
