order,ndivs,element,face,reference_face_id,neighbor_element,neighbor_face,neighbor_reference_face_id,max_abs_projected_mismatch,max_abs_direct_mismatch,max_abs_delta_M,max_abs_delta_P,max_abs_delta_M_plus_delta_P,max_abs_projected_minus_delta_sum,max_abs_decomposition_error
4,8,0,0,1,1,1,2,9.728301941791528e-09,1.3877787807814457e-17,6.72320019934336e-08,5.750370003776428e-08,9.728301955669316e-09,1.3877787807814457e-17,0.0
4,8,0,1,2,64,2,3,1.1114093257909644e-09,4.336808689942018e-19,2.9366545150483203e-08,2.8904708409757673e-08,1.1114093262246452e-09,4.336808689942018e-19,0.0
4,8,0,2,3,192,1,2,4.85722573273506e-17,2.0816681711721685e-17,3.37250457144167e-08,3.3725045686661126e-08,6.938893903907228e-17,2.0816681711721685e-17,0.0
4,8,1,0,1,2,2,3,7.454658083189125e-08,1.3877787807814457e-17,1.8848566235574182e-08,5.569801461019486e-08,7.454658084576904e-08,1.3877787807814457e-17,0.0
4,8,1,2,3,15,1,2,7.021449351714976e-08,6.938893903907228e-18,2.165676867352251e-08,5.220488760639824e-08,7.021449352408865e-08,6.938893903907228e-18,0.0
4,8,2,0,1,3,1,2,7.254451581117927e-08,4.163336342344337e-17,1.3795369799285417e-07,1.0773796316199125e-07,7.254451581117927e-08,4.163336342344337e-17,0.0
4,8,2,1,2,79,2,3,4.081781331335965e-09,5.204170427930421e-18,5.24290237891023e-08,5.271523376149112e-08,4.081781331335965e-09,5.204170427930421e-18,0.0
4,8,3,0,1,4,2,3,7.518186249944048e-08,2.7755575615628914e-17,1.980141028923299e-08,5.538045221020749e-08,7.518186249944048e-08,2.7755575615628914e-17,0.0
4,8,3,2,3,17,1,2,1.6952160515268377e-07,4.336808689942018e-18,8.247593401636277e-08,9.649454656059792e-08,1.6952160515268377e-07,4.336808689942018e-18,0.0
4,8,4,0,1,5,1,2,2.1302408172163556e-07,4.163336342344337e-17,1.9783294390174344e-07,1.5623043692070127e-07,2.1302408170775777e-07,4.163336342344337e-17,0.0
4,8,4,1,2,92,2,3,1.2325266585122563e-08,6.938893903907228e-18,1.037827088712362e-07,9.145744229305253e-08,1.2325266578183669e-08,6.938893903907228e-18,0.0
4,8,5,0,1,6,2,3,4.5340418503014845e-08,1.3877787807814457e-17,6.156799718659567e-08,1.622757869745861e-08,4.534041848913706e-08,1.3877787807814457e-17,0.0
4,8,5,2,3,19,1,2,2.0806035699871828e-07,1.3877787807814457e-17,2.2910432606604303e-07,2.5073333609348936e-07,2.0806035701259606e-07,1.3877787807814457e-17,0.0
4,8,6,0,1,7,1,2,2.352235448227491e-07,2.7755575615628914e-17,1.4027466214983075e-07,1.1986942102804043e-07,2.3522354483662689e-07,2.7755575615628914e-17,0.0
4,8,6,1,2,103,2,3,2.356452834945122e-08,1.3877787807814457e-17,1.4522399875011027e-07,1.2165947040065905e-07,2.356452834945122e-08,1.3877787807814457e-17,0.0
4,8,7,0,1,8,2,3,1.4851449032377007e-07,2.0816681711721685e-17,1.3079624655576438e-07,1.0352309694205974e-07,1.4851449032030062e-07,2.0816681711721685e-17,0.0
4,8,7,2,3,21,1,2,7.657856368470384e-08,2.7755575615628914e-17,2.961982936561247e-07,2.2694969480097082e-07,7.657856369858163e-08,2.7755575615628914e-17,0.0
4,8,8,0,1,9,1,2,5.4354344039553304e-08,1.3877787807814457e-17,3.03453290273481e-08,3.977630570750623e-08,5.4354344039553304e-08,1.3877787807814457e-17,0.0
4,8,8,1,2,112,2,3,2.3564528328634538e-08,2.7755575615628914e-17,1.0169572330076537e-07,7.813119497213084e-08,2.3564528328634538e-08,2.7755575615628914e-17,0.0
4,8,9,0,1,10,2,3,8.269107779415585e-08,2.42861286636753e-17,1.0532853000552733e-07,9.242410794335632e-08,8.269107780109475e-08,2.42861286636753e-17,0.0
4,8,9,2,3,23,1,2,1.8596473233545296e-07,2.7755575615628914e-17,1.6956956742919527e-07,1.5556400624616717e-07,1.8596473233545296e-07,2.7755575615628914e-17,0.0
4,8,10,0,1,11,1,2,3.117818285491847e-08,4.163336342344337e-17,2.967901228945191e-08,7.394514306424682e-09,3.117818289655183e-08,4.163336342344337e-17,0.0
4,8,10,1,2,119,2,3,1.232526659900035e-08,2.7755575615628914e-17,4.1124955801885577e-08,3.2113472492323325e-08,1.2325266571244775e-08,2.7755575615628914e-17,0.0
4,8,11,0,1,12,2,3,1.592156533610639e-08,3.729655473350135e-17,4.1432703782630365e-08,3.675344137376874e-08,1.5921565373402946e-08,3.729655473350135e-17,0.0
4,8,11,2,3,25,1,2,8.948605348391148e-08,1.3877787807814457e-17,3.583847330013157e-08,5.364758018377991e-08,8.948605348391148e-08,1.3877787807814457e-17,0.0
4,8,12,0,1,13,1,2,2.0988379104136534e-08,1.3877787807814457e-17,1.751419713424962e-08,3.4741819698869136e-09,2.0988379104136534e-08,1.3877787807814457e-17,0.0
