order,ndivs,element,face,reference_face_id,face_node,R_alpha,R_beta,term_alpha,term_beta,a_projected,a_direct,delta,abs_delta,relative_delta,delta_alpha_trace,delta_beta_trace
4,4,0,0,1,0,0.0009341300860723406,-0.04598791157731486,0.0018682601721446812,-0.09197582315462972,-0.09010756298248504,-0.09011728526309787,9.722280612828316e-06,9.722280612828316e-06,0.00010788474801969531,nan,nan
4,4,0,0,1,1,-0.004450714474675649,-0.05202758260640419,-0.008901428949351298,-0.10405516521280837,-0.11295659416215967,-0.11295449786214284,-2.0963000168239265e-06,2.0963000168239265e-06,1.8558456302378356e-05,nan,nan
4,4,0,0,1,2,-0.012045128854517265,-0.06002801590359162,-0.02409025770903453,-0.12005603180718324,-0.14414628951621777,-0.14414615682913365,-1.3268708412561558e-07,1.3268708412561558e-07,9.20502945798595e-07,nan,nan
4,4,0,0,1,3,-0.01837394827832569,-0.06605607390599144,-0.03674789655665138,-0.13211214781198288,-0.16886004436863428,-0.16886227612901658,2.2317603823041043e-06,2.2317603823041043e-06,1.3216453274613939e-05,nan,nan
4,4,0,0,1,4,-0.021567594027146385,-0.0686594289361374,-0.04313518805429277,-0.1373188578722748,-0.18045404592656755,-0.1804465841229921,-7.4618035754425716e-06,7.4618035754425716e-06,4.1350159466521546e-05,nan,nan
4,4,0,1,2,0,-0.02131706884008803,-0.06936555956842307,0.04263413768017606,0.0,0.04263413768017606,0.04263781021110068,-3.6725309246199433e-06,3.6725309246199433e-06,8.613319742353482e-05,-3.6725309246199433e-06,nan
4,4,0,1,2,1,-0.017566271308848087,-0.07020307835652548,0.035132542617696175,0.0,0.035132542617696175,0.03513189693635638,6.45681339797588e-07,6.45681339797588e-07,1.8378440377166437e-05,6.45681339797588e-07,nan
4,4,0,1,2,2,-0.011549057225795184,-0.07087100499248684,0.02309811445159037,0.0,0.02309811445159037,0.023097659459640322,4.549919500468347e-07,4.549919500468347e-07,1.9698229091401323e-05,4.549919500468347e-07,nan
4,4,0,1,2,3,-0.005270060700294536,-0.07083432023160907,0.010540121400589072,0.0,0.010540121400589072,0.010539338369524427,7.830310646446403e-07,7.830310646446403e-07,7.429051667287986e-05,7.830310646446403e-07,nan
4,4,0,1,2,4,-0.0010485113272579707,-0.07040709172421075,0.0020970226545159415,0.0,0.0020970226545159415,0.0020985878805541607,-1.565226038219205e-06,1.565226038219205e-06,0.0007458472684050218,-1.565226038219205e-06,nan
4,4,0,2,3,0,0.00016691119592169827,-0.06951559803471043,0.0,0.13903119606942085,0.13903119606942085,0.13902977047017123,1.4255992496214898e-06,1.4255992496214898e-06,1.0253808425194455e-05,nan,1.4255992496214898e-06
4,4,0,2,3,1,0.0007824137813773334,-0.06608735353441775,0.0,0.1321747070688355,0.1321747070688355,0.13217548958022654,-7.825113910453485e-07,7.825113910453485e-07,5.920245830225487e-06,nan,-7.825113910453485e-07
4,4,0,2,3,2,0.0015300303371992786,-0.059618085728377845,0.0,0.11923617145675569,0.11923617145675569,0.11923653143067807,-3.5997392237863135e-07,3.5997392237863135e-07,3.0189902210289772e-06,nan,-3.5997392237863135e-07
4,4,0,2,3,3,0.0020443600083606328,-0.05179545454369645,0.0,0.1035909090873929,0.1035909090873929,0.10359210815161525,-1.199064222356938e-06,1.199064222356938e-06,1.1574860708520504e-05,nan,-1.199064222356938e-06
4,4,0,2,3,4,0.002245335701749506,-0.04595845929247687,0.0,0.09191691858495374,0.09191691858495374,0.09191193799477788,4.9805901758542825e-06,4.9805901758542825e-06,5.418578268864614e-05,nan,4.9805901758542825e-06
4,4,1,0,1,0,-0.0718275049331874,0.034037533396249875,-0.1436550098663748,0.06807506679249975,-0.07557994307387506,-0.07558472408113298,4.78100725792574e-06,4.78100725792574e-06,6.325361792408987e-05,nan,nan
4,4,1,0,1,1,-0.07775188963096206,0.02944118966312416,-0.15550377926192413,0.05888237932624832,-0.09662139993567581,-0.09662052361536677,-8.763203090400573e-07,8.763203090400573e-07,9.069629601966581e-06,nan,nan
4,4,1,0,1,2,-0.08500102567702482,0.022143230743962142,-0.17000205135404964,0.044286461487924283,-0.12571558986612535,-0.1257149756110043,-6.142551210452929e-07,6.142551210452929e-07,4.886069593273306e-06,nan,nan
4,4,1,0,1,3,-0.08970672779085875,0.015019202294814566,-0.1794134555817175,0.03003840458962913,-0.14937505099208837,-0.1493772212243568,2.1702322684225006e-06,2.1702322684225006e-06,1.452853554668101e-05,nan,nan
4,4,1,0,1,4,-0.09117642964189711,0.01069727589117949,-0.18235285928379422,0.02139455178235898,-0.16095830750143525,-0.16095417583017893,-4.1316712563188585e-06,4.1316712563188585e-06,2.5669201673744095e-05,nan,nan
4,4,1,1,2,0,-0.09022596505926618,0.0087513492632571,0.18045193011853236,-0.0,0.18045193011853236,0.18044658412299217,5.345995540195769e-06,5.345995540195769e-06,2.962559356768408e-05,5.345995540195769e-06,nan
4,4,1,1,2,1,-0.08442975584436266,0.004440881746584634,0.16885951168872532,-0.0,0.16885951168872532,0.1688622761290166,-2.7644402912918586e-06,2.7644402912918586e-06,1.6370976127194513e-05,-2.7644402912918586e-06,nan
4,4,1,1,2,2,-0.07207351654597181,-0.003140454930220455,0.14414703309194363,0.0,0.14414703309194363,0.14414615682913365,8.762628099789893e-07,8.762628099789893e-07,6.078951409426988e-06,8.762628099789893e-07,nan
4,4,1,1,2,3,-0.0564774927709126,-0.011384596209179242,0.1129549855418252,0.0,0.1129549855418252,0.11295449786214282,4.876796823871654e-07,4.876796823871654e-07,4.31746930025135e-06,4.876796823871654e-07,nan
4,4,1,1,2,4,-0.04505596605876686,-0.0168209495375711,0.09011193211753372,0.0,0.09011193211753372,0.09011728526309785,-5.353145564129802e-06,5.353145564129802e-06,5.9401984297477084e-05,-5.353145564129802e-06,nan
4,4,1,2,3,0,-0.04346546804526033,-0.01584525317901714,-0.0,0.03169050635803428,0.03169050635803428,0.031687358316104294,3.1480419299886875e-06,3.1480419299886875e-06,9.933706626276691e-05,nan,3.1480419299886875e-06
4,4,1,2,3,1,-0.048874168053595624,-0.006159922089102513,-0.0,0.012319844178205025,0.012319844178205025,0.012320330801485752,-4.866232807265725e-07,4.866232807265725e-07,3.949758237562005e-05,nan,-4.866232807265725e-07
4,4,1,2,3,2,-0.05711407085323153,0.009145697737536658,-0.0,-0.018291395475073316,-0.018291395475073316,-0.01829118001287973,-2.1546219358681284e-07,2.1546219358681284e-07,1.1779428960487731e-05,nan,-2.1546219358681284e-07
4,4,1,2,3,3,-0.06481484274000088,0.024055414184194324,-0.0,-0.04811082836838865,-0.04811082836838865,-0.04811231987642911,1.491508040463163e-06,1.491508040463163e-06,3.100054298553734e-05,nan,1.491508040463163e-06
4,4,1,2,3,4,-0.06926248809703292,0.03305368485718035,-0.0,-0.0661073697143607,-0.0661073697143607,-0.06610311170823734,-4.258006123358804e-06,4.258006123358804e-06,6.441046046389325e-05,nan,-4.258006123358804e-06
4,4,2,0,1,0,-0.04557627055441351,-0.03713304021126036,-0.09115254110882702,-0.07426608042252072,-0.16541862153134773,-0.16543780119439272,1.9179663044988082e-05,1.9179663044988082e-05,0.00011593277296070682,nan,nan
4,4,2,0,1,1,-0.053772001491364935,-0.04499955854640408,-0.10754400298272987,-0.08999911709280815,-0.19754312007553804,-0.19754028154404105,-2.8385314969903153e-06,2.8385314969903153e-06,1.4369174162607617e-05,nan,nan
4,4,2,0,1,2,-0.06364126807286392,-0.05540620751993057,-0.12728253614572785,-0.11081241503986114,-0.238094951185589,-0.2380933790691095,-1.5721164794979536e-06,1.5721164794979536e-06,6.602897170518029e-06,nan,nan
4,4,2,0,1,3,-0.0693138188998682,-0.06276111320887805,-0.1386276377997364,-0.1255222264177561,-0.2641498642174925,-0.2641547576146196,4.893397127114785e-06,4.893397127114785e-06,1.852473592110673e-05,nan,nan
4,4,2,0,1,4,-0.07034235531474423,-0.06543350654496839,-0.14068471062948845,-0.13086701308993678,-0.27155172371942526,-0.2715405944459863,-1.1129273438936771e-05,1.1129273438936771e-05,4.098399113988259e-05,nan,nan
4,4,2,1,2,0,-0.06940693522112452,-0.06672583718953712,0.13881387044224905,0.0,0.13881387044224905,0.13881405606922312,-1.8562697406965256e-07,1.8562697406965256e-07,1.3372347104178342e-06,-1.8562697406965256e-07,nan
4,4,2,1,2,1,-0.06490147075929453,-0.07041619292067103,0.12980294151858907,0.0,0.12980294151858907,0.12980293975629473,1.762294338236714e-09,1.762294338236714e-09,1.3576690309320425e-08,1.762294338236714e-09,nan
4,4,2,1,2,2,-0.055139965336050936,-0.07545055788358093,0.11027993067210187,0.0,0.11027993067210187,0.11027971224728715,2.184248147213408e-07,2.184248147213408e-07,1.9806397536718524e-06,2.184248147213408e-07,nan
4,4,2,1,2,3,-0.04276037977223856,-0.07944496513125694,0.08552075954447712,0.0,0.08552075954447712,0.0855166566115233,4.102932953817251e-06,4.102932953817251e-06,4.7975871305065086e-05,4.102932953817251e-06,nan
4,4,2,1,2,4,-0.033709227875515786,-0.0812839642919141,0.06741845575103157,0.0,0.06741845575103157,0.06742763864767869,-9.182896647114136e-06,9.182896647114136e-06,0.00013618891053113089,-9.182896647114136e-06,nan
4,4,2,2,3,0,-0.03174303410522774,-0.08047942532909017,-0.0,0.16095885065818033,0.16095885065818033,0.16095417583017893,4.6748280013997334e-06,4.6748280013997334e-06,2.9043621908853056e-05,nan,4.6748280013997334e-06
4,4,2,2,3,1,-0.033305232083095014,-0.07468680683528506,-0.0,0.14937361367057012,0.14937361367057012,0.1493772212243568,-3.607553786671991e-06,3.607553786671991e-06,2.4150628570427303e-05,nan,-3.607553786671991e-06
4,4,2,2,3,2,-0.03638599170705835,-0.06285789156860441,-0.0,0.12571578313720883,0.12571578313720883,0.1257149756110043,8.075262045159626e-07,8.075262045159626e-07,6.4234273880679854e-06,nan,8.075262045159626e-07
4,4,2,2,3,3,-0.040112266546826654,-0.0483085842009434,-0.0,0.0966171684018868,0.0966171684018868,0.09662052361536677,-3.355213479966368e-06,3.355213479966368e-06,3.472568098805818e-05,nan,-3.355213479966368e-06
4,4,2,2,3,4,-0.04276271854416517,-0.03779550704001937,-0.0,0.07559101408003874,0.07559101408003874,0.07558472408113301,6.2899989057285666e-06,6.2899989057285666e-06,8.32109342926458e-05,nan,6.2899989057285666e-06
4,4,3,0,1,0,-0.12254776517309744,0.12038227932209136,-0.24509553034619488,0.24076455864418272,-0.00433097170201216,-0.004331882947545758,9.112455335979347e-07,9.112455335979347e-07,0.00021035783852705526,nan,nan
4,4,3,0,1,1,-0.12842607387478103,0.11716925756191615,-0.25685214774956205,0.2343385151238323,-0.02251363262572975,-0.02251523056376007,1.5979380303191015e-06,1.5979380303191015e-06,7.097142646591863e-05,nan,nan
4,4,3,0,1,2,-0.13469525284012301,0.10953693783841995,-0.26939050568024603,0.2190738756768399,-0.05031663000340614,-0.05031505128564579,-1.5787177603462932e-06,1.5787177603462932e-06,3.1375665664402076e-05,nan,nan
4,4,3,0,1,3,-0.13718077738843515,0.09965946933625773,-0.2743615547768703,0.19931893867251546,-0.07504261610435484,-0.07505241144468654,9.795340331700264e-06,9.795340331700264e-06,0.0001305133325252235,nan,nan
