order,table,state,ndivs,n_elements,n_points_per_element,total_dofs,hmin,q_projection_closure_linf,tau_r_linf,tau_r_l2_ref,tau_s_linf,tau_s_l2_ref,tau_sum_linf,tau_sum_l2_ref,physical_tau_r_linf,physical_tau_r_l2,physical_tau_s_linf,physical_tau_s_l2,physical_tau_sum_linf,physical_tau_sum_l2,energy,abs_energy_residual,relative_energy_residual,tau_r_linf_rate,tau_r_l2_ref_rate,tau_s_linf_rate,tau_s_l2_ref_rate,tau_sum_linf_rate,tau_sum_l2_ref_rate,physical_tau_r_linf_rate,physical_tau_r_l2_rate,physical_tau_s_linf_rate,physical_tau_s_l2_rate,physical_tau_sum_linf_rate,physical_tau_sum_l2_rate,abs_energy_residual_rate,relative_energy_residual_rate
4,table1,projected-gaussian,4,128,22,2816,0.32175055440225403,5.551115123125783e-16,0.001322533427528185,0.0011219872515457524,0.0016382509770159794,0.0011682422837779624,0.0012852593263501097,0.0008502676498651383,0.0469583019117958,0.005384205122145497,0.046958301911801316,0.005569945779478505,0.027760828186037388,0.003914007120217935,0.1885418668265843,7.480550297852672e-17,3.967580476294466e-16,,,,,,,,,,,,,,
4,table1,projected-gaussian,8,512,22,11264,0.14189705460416463,5.551115123125783e-16,4.256998685637776e-05,4.241581796449877e-05,4.764604184193805e-05,4.4485052849287045e-05,3.4502367997878104e-05,3.3168572347405186e-05,0.003259869940965792,0.0003758308564905084,0.00325986994095056,0.0003926202045965124,0.0023498080414950996,0.0002824090363671356,0.18854163224292908,9.946390262252029e-18,5.275434472443977e-17,4.957323732549981,4.725310089621446,5.103656213554961,4.714875031673626,5.2192202890207815,4.68002822710261,3.8484939276916568,3.8405779483908704,3.8484939276985672,3.8264569615091584,3.562435797026901,3.792788223451817,,
4,table1,projected-gaussian,16,2048,22,45056,0.06656816377582381,8.881784197001252e-16,8.102196247511797e-07,1.3428867487240674e-06,7.911988085384115e-07,1.4184711153000853e-06,6.166984964745773e-07,1.0654507466142156e-06,0.0002110286902907518,2.3487403145350704e-05,0.00021102869026213742,2.4719172578935434e-05,0.00015629218168405722,1.789778526706535e-05,0.18854163040843883,2.825717132163617e-17,1.4987231870448185e-16,5.7153798047426765,4.981192837252612,5.91217230456086,4.970911988311123,5.805986242425011,4.960281109272295,3.949303348200471,4.000124402316398,3.949303348389352,3.9894320590732004,3.910225389910813,3.9799332722538767,,
4,table1,projected-gaussian,32,8192,22,180224,0.03224688243525392,8.881784197001252e-16,1.2938166659781994e-08,4.192773325122721e-08,1.2978979773832998e-08,4.446286759757551e-08,1.0032276501155185e-08,3.351796380705587e-08,1.3199486532637719e-05,1.4602697627331282e-06,1.3199486488553955e-05,1.543367184345759e-06,9.990532648377896e-06,1.122314121122376e-06,0.18854163040098876,9.888459340136125e-17,5.244708725126347e-16,5.968607922899927,5.001288995606263,5.929791365186228,4.995591965863822,5.9418444077370305,4.990385582916978,3.998885438936991,4.007580397530186,3.998885443559695,4.001477211768977,3.967540203141896,3.995232645382049,,
4,table1,projected-gaussian,64,32768,22,720896,0.015871682991790047,8.881784197001252e-16,2.005546843506477e-10,1.3072673741262145e-09,2.0437456595649847e-10,1.3891522985714742e-09,1.5890602366803097e-10,1.0491823936312038e-09,8.198234960009953e-07,9.091021973369883e-08,8.198234348184554e-07,9.629899604053759e-08,6.299921350773883e-07,7.020223889366026e-08,0.18854163040095928,1.5598357566774312e-16,8.273163615697125e-16,6.0114937279398655,5.003278686094861,5.988817506359539,5.00032431505523,5.98033139179906,4.99759710086876,4.00902466085307,4.0056486144972565,4.009024763701517,4.002416768418534,3.987155874804376,3.9988156720409274,,
