ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
2,gaussian,0,0,1,1,5,0.4855065020827316,0.48501949796671917,0.0008994911129364194,0.0018526860280506474,0.000484756247335867,1.8779725310226336e-07,1.8779725310226156e-07,1.7999450129153882e-21
2,gaussian,0,1,4,2,5,0.21998598833929656,0.21994078339205586,0.00021639005859819434,0.0009836538237355554,0.00010283212416793029,5.926116283308033e-15,5.9261162833254006e-15,1.7367561689345796e-26
2,gaussian,0,2,12,1,5,0.3119165544739758,0.3119165544739759,1.1102230246251565e-16,3.5593590936443406e-16,8.308364967842742e-17,2.1491665869042798e-20,2.1044973326592525e-20,4.466925424502724e-22
2,gaussian,1,0,2,2,5,0.15365053351267832,0.15319415119919175,0.00047455801717893875,0.0030885543078168426,0.0003964063465533575,6.90917904524471e-08,6.909179045244879e-08,1.6940658945086007e-21
2,gaussian,1,2,3,1,5,0.4850194979667191,0.4855065020827318,0.0008994911129363188,0.0018526860280504397,0.0004847562473358149,4.852689292258642e-07,4.852689292258998e-07,3.5575383784680614e-20
2,gaussian,2,0,19,0,5,0.3452234360264013,0.34534856215213017,0.00021639005859780402,0.0006265845071116342,0.00010283212416777794,8.072688057686005e-09,8.072688057691641e-09,5.6364086939363306e-21
2,gaussian,2,1,7,2,5,0.34522343602640115,0.34534856215213006,0.00021639005859797056,0.0006265845071121165,0.00010283212416783329,-5.9261162831620125e-15,-5.926116283171352e-15,9.339324256911559e-27
2,gaussian,3,0,18,0,5,0.21998598833929656,0.2199407833920556,0.00021639005859791505,0.0009836538237342858,0.00010283212416787148,-1.8138451275902772e-07,-1.8138451275914908e-07,1.2136393947378022e-19
2,gaussian,3,2,14,1,5,0.311916554473976,0.311916554473976,2.7755575615628914e-16,8.89839773411085e-16,1.6749132105430158e-16,2.095032832225302e-17,1.813286292115051e-17,2.817465401102511e-18
2,gaussian,4,0,5,1,5,0.37225646483175057,0.3722440187329169,0.0013558734264229877,0.0036423099516506834,0.000700851014994619,6.003393433542961e-14,6.003393433542964e-14,2.524354896707238e-29
2,gaussian,4,1,8,2,5,0.48824677928486615,0.488246779284866,2.7755575615628914e-16,5.684743206352008e-16,2.1777761582335986e-16,1.31641511969746e-26,1.600454585081283e-26,2.8403946538382293e-27
2,gaussian,5,0,6,2,5,0.37224401873291707,0.37225646483175073,0.0013558734264226546,0.003642309951649787,0.00070085101499458,-1.4271437329219949e-18,-1.427143732922305e-18,3.1007472104634497e-31
2,gaussian,5,2,7,1,5,0.726321320337557,0.7257523307759597,0.0009850242708375756,0.0013561825093882508,0.0008665701018872636,-3.9549669363446384e-14,-3.954966936344772e-14,1.337908095254836e-27
2,gaussian,6,0,23,0,5,0.2199407833920556,0.21998598833929656,0.00021639005859791505,0.0009836538237342858,0.00010283212416787148,1.659491634759464e-26,1.6594916347595984e-26,1.3430941313106215e-39
2,gaussian,6,1,11,2,5,0.4882467792848662,0.48824677928486615,3.3306690738754696e-16,6.821691847622409e-16,1.766029531852885e-16,6.18925294837971e-38,5.617160078882578e-38,5.720928694971325e-39
2,gaussian,7,0,22,0,5,0.34534856215213017,0.3452234360264013,0.00021639005859780402,0.0006265845071116342,0.00010283212416777794,1.0295681882205959e-14,1.029568188220365e-14,2.3082070086766805e-27
2,gaussian,8,0,9,1,5,0.37225646483175034,0.3722440187329169,0.0013558734264227656,0.003642309951650089,0.0007008510149945032,-6.003393433541983e-14,-6.00339343354191e-14,7.32062920045099e-28
2,gaussian,8,1,12,2,5,0.21994078339205586,0.21998598833929667,0.00021639005859820475,0.0009836538237356022,0.00010283212416796483,-5.926116283293379e-15,-5.926116283285844e-15,7.535199366671105e-27
2,gaussian,9,0,10,2,5,0.7263213203375577,0.7257523307759591,0.0009850242708377976,0.0013561825093885553,0.0008665701018875739,3.954966936345594e-14,3.954966936345669e-14,7.509955817704032e-28
2,gaussian,9,2,11,1,5,0.3722440187329169,0.3722564648317507,0.0013558734264230154,0.0036423099516507567,0.0007008510149946599,1.4271437329234387e-18,1.4271437329240335e-18,5.947271668267784e-31
2,gaussian,10,0,27,0,5,0.3453485621521302,0.34522343602640115,0.00021639005859785954,0.0006265845071117947,0.00010283212416791149,-1.029568188220844e-14,-1.0295681882210911e-14,2.470712355152209e-27
2,gaussian,10,1,15,2,5,0.3453485621521301,0.34522343602640104,0.00021639005859830363,0.0006265845071130809,0.00010283212416803537,5.92611628330576e-15,5.92611628335191e-15,4.614994067723963e-26
2,gaussian,11,0,26,0,5,0.21994078339205575,0.21998598833929667,0.00021639005859802607,0.00098365382373479,0.00010283212416792211,-1.6594916347583695e-26,-1.6594916347597777e-26,1.4082399363976965e-38
2,gaussian,12,0,13,1,5,0.4855065020827315,0.48501949796671906,0.0008994911129363674,0.0018526860280505407,0.0004847562473358477,-1.877972531022391e-07,-1.877972531022398e-07,7.146840492458159e-22
