ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
8,polynomial,0,0,1,1,5,0.07093433899563689,0.07093433150055356,9.728301941791528e-09,1.371451694557964e-07,4.74351372157439e-09,1.991750465046562e-09,1.9917504635673097e-09,1.479252466102561e-18
8,polynomial,0,1,64,2,5,0.008480334017751733,0.008480334479588474,1.1114093257909644e-09,1.3105725115749182e-07,5.799790193829202e-10,-4.324255926182492e-11,-4.32425590281958e-11,2.336291183916759e-19
8,polynomial,0,2,192,1,5,0.062469601849366195,0.062469601849366244,4.85722573273506e-17,7.775342869076308e-16,2.7132639960347637e-17,-1.2880258259281623e-18,-1.4899400862332423e-18,2.0191426030507994e-19
8,polynomial,1,0,2,2,5,0.07016013881991913,0.07016017403681547,7.454658083189125e-08,1.0625198961561024e-06,3.113436889612562e-08,2.48422045660864e-09,2.484220456540459e-09,6.818118917029586e-20
8,polynomial,1,2,15,1,5,0.008024879992413431,0.008024924129667434,7.021449351714976e-08,8.749552317581794e-06,3.142956419797021e-08,-3.4756295580117234e-09,-3.475629558276288e-09,2.645646199383478e-19
8,polynomial,2,0,3,1,5,0.09291057060456888,0.09291058082586881,7.254451581117927e-08,7.807992928936778e-07,4.2298237823176905e-08,3.051289317478803e-09,3.051289316428977e-09,1.0498262005890257e-18
8,polynomial,2,1,79,2,5,0.02453402580953264,0.024534025523322664,4.081781331335965e-09,1.6637226042820898e-07,1.9936224521134993e-09,1.0098698645580918e-11,1.0098698696915677e-11,5.133475934479414e-20
8,polynomial,3,0,4,2,5,0.07239527692392887,0.0723953021590036,7.518186249944048e-08,1.038490900063055e-06,3.0245990792870155e-08,1.4272021914427122e-09,1.4272021910241381e-09,4.1857406946714583e-19
8,polynomial,3,2,17,1,5,0.02786184373360352,0.027861674211998366,1.6952160515268377e-07,6.084364221317763e-06,8.448790889683558e-08,-6.661237211218309e-09,-6.661237211044539e-09,1.737699671820773e-19
8,polynomial,4,0,5,1,5,0.11616428343226931,0.11616433944329277,2.1302408172163556e-07,1.8338164943091353e-06,1.0954655539913088e-07,5.999736105026849e-09,5.999736103501863e-09,1.524986041399699e-18
8,polynomial,4,1,92,2,5,0.048846424089447324,0.0488464173315803,1.2325266585122563e-08,2.5232689628523464e-07,6.6233429820230055e-09,-9.451407491975541e-11,-9.451407513179223e-11,2.1203681573424646e-19
8,polynomial,5,0,6,2,5,0.06333352663439457,0.06333348129397606,4.5340418503014845e-08,7.158991597728556e-07,2.382267381922171e-08,-6.78444042548475e-10,-6.784440415096838e-10,1.038791197627262e-18
8,polynomial,5,2,19,1,5,0.06436501800564033,0.06436480994528333,2.0806035699871828e-07,3.2325067784566746e-06,1.1484005270764508e-07,-1.0426552713672208e-09,-1.0426552708187455e-09,5.4847534004308585e-19
8,polynomial,6,0,7,1,5,0.13017932217352288,0.13017938771279708,2.352235448227491e-07,1.8069185064973678e-06,1.052585118733168e-07,6.487722722736994e-10,6.487722721473048e-10,1.2639454176659803e-19
8,polynomial,6,1,103,2,5,0.07552351952001547,0.07552349875237578,2.356452834945122e-08,3.120157601130609e-07,1.4031159301851415e-08,-1.189392721669437e-09,-1.1893927203918874e-09,1.2775496436103336e-18
8,polynomial,7,0,8,2,5,0.042824170384371835,0.04282407176322698,1.4851449032377007e-07,3.4680062448557937e-06,8.030997226751042e-08,-4.016368345142394e-09,-4.016368345471998e-09,3.296041771421673e-19
8,polynomial,7,2,21,1,5,0.09963599437521856,0.09963596660198994,7.657856368470384e-08,7.685833233752565e-07,3.199205122763771e-08,4.962689085249497e-10,4.96268908496818e-10,2.813168884989249e-20
8,polynomial,8,0,9,1,5,0.12531980747941648,0.12531981379408466,5.4354344039553304e-08,4.3372506225443286e-07,2.156589399580142e-08,-4.479641328203259e-10,-4.479641321979516e-10,6.223743118000779e-19
8,polynomial,8,1,112,2,5,0.09200793094762248,0.09200790738309415,2.3564528328634538e-08,2.5611409892533243e-07,1.4031159310496753e-08,-1.7932635443620397e-10,-1.7932635461828317e-10,1.820792032303256e-19
8,polynomial,9,0,10,2,5,0.02090430846871033,0.02090425426572784,8.269107779415585e-08,3.955695445172379e-06,5.270277945107164e-08,-1.1127431293686986e-09,-1.112743129554446e-09,1.8574754245184513e-19
8,polynomial,9,2,23,1,5,0.11285161500223374,0.11285168876953174,1.8596473233545296e-07,1.6478684046566139e-06,9.476286802761331e-08,-4.449778261010155e-09,-4.44977825768037e-09,3.3297849501495484e-18
8,polynomial,10,0,11,1,5,0.10537850851229416,0.10537849210040742,3.117818285491847e-08,2.958685152701797e-07,1.3421892434774074e-08,-6.306713795949844e-10,-6.306713796164986e-10,2.1514243949468266e-20
8,polynomial,10,1,119,2,5,0.09131302776692121,0.09131301544165461,1.232526659900035e-08,1.3497818329341683e-07,6.623342984441004e-09,-5.014360174272683e-10,-5.014360179346947e-10,5.074263987475653e-19
8,polynomial,11,0,12,2,5,0.006892649404799153,0.006892637490594709,1.592156533610639e-08,2.309934018263088e-06,1.1376636521886923e-08,-1.0764010459544996e-11,-1.0764010434349901e-11,2.519509427775267e-20
8,polynomial,11,2,25,1,5,0.10236099450521605,0.10236102945492655,8.948605348391148e-08,8.742199444498123e-07,3.994303062750251e-08,4.119919182634973e-10,4.119919204355994e-10,2.1721021008030623e-18
8,polynomial,12,0,13,1,5,0.08218101797808627,0.08218101103157138,2.0988379104136534e-08,2.553920554955054e-07,8.213756506474943e-09,-5.617648073288105e-10,-5.617648066464073e-10,6.824032224433574e-19
8,polynomial,12,1,124,2,5,0.07869427570441968,0.07869427162263837,4.081781315723454e-09,5.186884661159935e-08,1.9936224365747763e-09,5.060116948852076e-10,5.060116967187721e-10,1.8335645281416872e-18
8,polynomial,13,0,14,2,5,0.001141809933379867,0.0011418083491788313,1.584201058529855e-09,1.3874472556395334e-06,1.2529538278761474e-09,7.533211915181603e-11,7.533211914557271e-11,6.243313694305901e-21
8,polynomial,13,2,27,1,5,0.08218101103157144,0.0821810179780863,2.0988379159647685e-08,2.5539205617097943e-07,8.213756511363362e-09,1.1315243468630234e-09,1.131524346279697e-09,5.8332632040632315e-19
