ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
1,polynomial,0,0,1,1,5,0.6370660762661999,0.6504257291889796,0.030896237809313554,0.04750156155082962,0.022116273085077753,0.005663907106346002,0.005663907106346007,5.204170427930421e-18
1,polynomial,0,1,3,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,7.00288281953106e-16,2.5757308900239343e-16,4.0402705115846186e-18,8.847616077022507e-18,4.807345565437889e-18
1,polynomial,0,2,4,2,5,0.6370660762661997,0.6504257291889799,0.030896237809314275,0.04750156155083071,0.022116273085078023,0.0007719573253202776,0.000771957325320267,1.0625181290357943e-17
1,polynomial,1,0,2,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,5.228137547986055e-16,4.552615086484714e-16,-2.7657518128841496e-17,-3.6212828925351795e-17,8.555310796510299e-18
1,polynomial,1,2,5,2,5,0.6504257291889799,0.6370660762661997,0.030896237809314275,0.04750156155083071,0.022116273085078023,0.0004776316617816763,0.00047763166178166653,9.75781955236954e-18
1,polynomial,2,0,3,1,5,0.6504257291889795,0.6370660762662002,0.030896237809314275,0.04750156155083074,0.022116273085077676,-0.0016126756037858061,-0.0016126756037858072,1.0842021724855044e-18
1,polynomial,2,2,6,2,5,0.6504257291889797,0.6370660762661999,0.030896237809313595,0.04750156155082968,0.022116273085077645,-7.797165258986372e-05,-7.79716525898622e-05,1.5178830414797062e-18
1,polynomial,3,2,7,2,5,0.6370660762661999,0.6504257291889797,0.030896237809313595,0.04750156155082968,0.022116273085077645,0.0007560460165121159,0.0007560460165121161,2.168404344971009e-19
1,polynomial,4,0,7,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,5.228137547986055e-16,4.552615086484714e-16,1.8187301791034038e-17,1.933672786056609e-17,1.1494260695320528e-18
1,polynomial,4,1,5,0,5,0.6504257291889796,0.6370660762661999,0.030896237809313554,0.04750156155082962,0.022116273085077753,-0.0012096679374338296,-0.001209667937433822,7.589415207398531e-18
1,polynomial,5,1,6,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,7.00288281953106e-16,2.5757308900239343e-16,-2.0991005597307248e-17,-3.463995480130671e-17,1.3648949203999461e-17
1,polynomial,6,1,7,0,5,0.6370660762662002,0.6504257291889795,0.030896237809314275,0.04750156155083074,0.022116273085077673,-0.0017708514966961661,-0.0017708514966961679,1.734723475976807e-18
