ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
1,constant,0,0,1,1,5,0.6370660762661999,0.6504257291889796,0.030896237809313554,0.04750156155082962,0.022116273085077753,-3.664603343001005e-17,-5.984795992119984e-17,2.3201926491189795e-17
1,constant,0,1,3,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,7.00288281953106e-16,2.5757308900239343e-16,-1.0554457239943535e-17,-1.0811789523936816e-17,2.573322839932808e-19
1,constant,0,2,4,2,5,0.6370660762661997,0.6504257291889799,0.030896237809314275,0.04750156155083071,0.022116273085078023,-1.8648277366750676e-17,-1.1709383462843448e-17,6.938893903907228e-18
1,constant,1,0,2,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,5.228137547986055e-16,4.552615086484714e-16,-1.277517719111906e-16,-1.6278855442608017e-16,3.5036782514889563e-17
1,constant,1,2,5,2,5,0.6504257291889799,0.6370660762661997,0.030896237809314275,0.04750156155083071,0.022116273085078023,1.8648277366750676e-17,1.1709383462843448e-17,6.938893903907228e-18
1,constant,2,0,3,1,5,0.6504257291889795,0.6370660762662002,0.030896237809314275,0.04750156155083074,0.022116273085077676,-4.445228907190568e-17,-6.505213034913027e-17,2.0599841277224584e-17
1,constant,2,2,6,2,5,0.6504257291889797,0.6370660762661999,0.030896237809313595,0.04750156155082968,0.022116273085077645,2.4069288229178198e-17,1.6696713456276768e-17,7.37257477290143e-18
1,constant,3,2,7,2,5,0.6370660762661999,0.6504257291889797,0.030896237809313595,0.04750156155082968,0.022116273085077645,-2.4069288229178198e-17,-1.6696713456276768e-17,7.37257477290143e-18
1,constant,4,0,7,1,5,1.2741321525323999,1.2741321525324005,6.661338147750939e-16,5.228137547986055e-16,4.552615086484714e-16,1.277517719111906e-16,1.6278855442608017e-16,3.5036782514889563e-17
1,constant,4,1,5,0,5,0.6504257291889796,0.6370660762661999,0.030896237809313554,0.04750156155082962,0.022116273085077753,3.664603343001005e-17,5.984795992119984e-17,2.3201926491189795e-17
1,constant,5,1,6,0,5,0.4756139949373741,0.4756139949373739,3.3306690738754696e-16,7.00288281953106e-16,2.5757308900239343e-16,1.0554457239943535e-17,1.0811789523936816e-17,2.573322839932808e-19
1,constant,6,1,7,0,5,0.6370660762662002,0.6504257291889795,0.030896237809314275,0.04750156155083074,0.022116273085077673,4.423544863740858e-17,6.505213034913027e-17,2.0816681711721685e-17
