ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
8,constant,0,0,1,1,5,0.07093433899563689,0.07093433150055356,9.728301941791528e-09,1.371451694557964e-07,4.74351372157439e-09,-2.3882105595073157e-11,-2.3882105878542886e-11,2.834697294406707e-19
8,constant,0,1,64,2,5,0.008480334017751733,0.008480334479588474,1.1114093257909644e-09,1.3105725115749182e-07,5.799790193829202e-10,-3.917488741304325e-11,-3.917488726036657e-11,1.5267668061621609e-19
8,constant,0,2,192,1,5,0.062469601849366195,0.062469601849366244,4.85722573273506e-17,7.775342869076308e-16,2.7132639960347637e-17,-6.1673324426806685e-18,-8.184639564244091e-18,2.017307121563423e-18
8,constant,1,0,2,2,5,0.07016013881991913,0.07016017403681547,7.454658083189125e-08,1.0625198961561024e-06,3.113436889612562e-08,1.5806420909611792e-09,1.5806420884760019e-09,2.4851772964512536e-18
8,constant,1,2,15,1,5,0.008024879992413431,0.008024924129667434,7.021449351714976e-08,8.749552317581794e-06,3.142956419797021e-08,-1.689033719974656e-09,-1.689033719724608e-09,2.5004801377834846e-19
8,constant,2,0,3,1,5,0.09291057060456888,0.09291058082586881,7.254451581117927e-08,7.807992928936778e-07,4.2298237823176905e-08,-1.6782458504371087e-09,-1.6782458463002533e-09,4.13685535444534e-18
8,constant,2,1,79,2,5,0.02453402580953264,0.024534025523322664,4.081781331335965e-09,1.6637226042820898e-07,1.9936224521134993e-09,8.112418655601628e-11,8.112418684069287e-11,2.8467658595438556e-19
8,constant,3,0,4,2,5,0.07239527692392887,0.0723953021590036,7.518186249944048e-08,1.038490900063055e-06,3.0245990792870155e-08,1.3183374851721655e-09,1.3183374832733267e-09,1.8988387978443186e-18
8,constant,3,2,17,1,5,0.02786184373360352,0.027861674211998366,1.6952160515268377e-07,6.084364221317763e-06,8.448790889683558e-08,-5.405744455607984e-10,-5.405744452774858e-10,2.833126685218622e-19
8,constant,4,0,5,1,5,0.11616428343226931,0.11616433944329277,2.1302408172163556e-07,1.8338164943091353e-06,1.0954655539913088e-07,-2.617321842765259e-09,-2.617321843569354e-09,8.040948288372852e-19
8,constant,4,1,92,2,5,0.048846424089447324,0.0488464173315803,1.2325266585122563e-08,2.5232689628523464e-07,6.6233429820230055e-09,4.169120815950131e-10,4.169120819697468e-10,3.747337037969885e-19
8,constant,5,0,6,2,5,0.06333352663439457,0.06333348129397606,4.5340418503014845e-08,7.158991597728556e-07,2.382267381922171e-08,-6.127876716889341e-10,-6.127876715940346e-10,9.489953654606493e-20
8,constant,5,2,19,1,5,0.06436501800564033,0.06436480994528333,2.0806035699871828e-07,3.2325067784566746e-06,1.1484005270764508e-07,2.5213565417902095e-09,2.521356540763407e-09,1.0268024554192247e-18
