order,ndivs,n_elements,n_points_per_element,total_dofs,state,hmin,max_abs_metric_mismatch,max_relative_metric_mismatch,global_metric_l2,R_geo,abs_R_geo,I_direct_global,interface_formula_error,max_face_interface_formula_error,dE_dt_actual,physical_volume_rate,energy_defect,balance_error,abs_balance_error,relative_balance_error,dM_dt,abs_mass_rate,max_common_velocity_reconstruction_error,metric_mismatch_rate,R_geo_abs_rate,face_csv
4,1,8,22,176,constant,1.5711711711711716,0.030896237809314275,0.04750156155083074,0.06255426669212807,-2.168404344971009e-19,2.168404344971009e-19,0.0,2.168404344971009e-19,3.5036782514889563e-17,-5.204170427930421e-18,2.0599841277224584e-18,-7.26415455565288e-18,-7.047314121155779e-18,7.047314121155779e-18,0.9701492537313433,-5.204170427930421e-18,5.204170427930421e-18,0.0,,,faces_ndiv1_constant.csv
4,1,8,22,176,gaussian,1.5711711711711716,0.030896237809314275,0.04750156155083074,0.06255426669212807,-9.286675146355193e-18,9.286675146355193e-18,-2.4894968126450033e-17,1.5608292980094838e-17,5.9338068582003414e-18,1.5612511283791264e-17,4.7813315806610746e-17,-3.220080452281948e-17,-2.2914129376464287e-17,2.2914129376464287e-17,0.7116011452516945,-2.0122792321330962e-16,2.0122792321330962e-16,0.0,,,faces_ndiv1_gaussian.csv
4,1,8,22,176,polynomial,1.5711711711711716,0.030896237809314275,0.04750156155083074,0.06255426669212807,0.0029983754194543794,0.0029983754194543794,0.0029983754194543547,2.47198095326695e-17,1.3648949203999461e-17,-0.0007605279500895665,-0.00375890336954391,0.0029983754194543434,-3.599551212651875e-17,3.599551212651875e-17,1.2005005074737748e-14,1.5543122344752192e-15,1.5543122344752192e-15,0.0,,,faces_ndiv1_polynomial.csv
4,2,32,22,704,constant,0.785398279620715,0.0013558734264230154,0.0036423099516507567,0.0031001555091425014,-8.470329472543003e-22,8.470329472543003e-22,5.082197683525802e-21,5.929230630780102e-21,2.3439095716421e-17,0.0,-0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,1.0,0.0,0.0,0.0,4.508585716333952,7.997248781859188,faces_ndiv2_constant.csv
4,2,32,22,704,gaussian,0.785398279620715,0.0013558734264230154,0.0036423099516507567,0.0031001555091425014,2.599937635503271e-17,2.599937635503271e-17,2.832650244896044e-17,2.3271260939277268e-18,5.774128862115325e-18,4.163336342344337e-17,-7.774068389899969e-18,4.940743181334334e-17,2.3408055458310628e-17,2.3408055458310628e-17,0.4737760008806787,5.551115123125783e-17,5.551115123125783e-17,0.0,4.508585716333952,-1.4847321648943193,faces_ndiv2_gaussian.csv
4,2,32,22,704,polynomial,0.785398279620715,0.0013558734264230154,0.0036423099516507567,0.0031001555091425014,0.0003230933056734832,0.0003230933056734832,0.0003230933056734559,2.7321894746634712e-17,2.048716876629677e-17,7.675726483628159e-05,-0.0002463360408379307,0.0003230933056742123,7.290717508878775e-16,7.290717508878775e-16,2.256536232982274e-12,2.7755575615628914e-16,2.7755575615628914e-16,0.0,4.508585716333952,3.2130529105642944,faces_ndiv2_polynomial.csv
4,4,128,22,2816,constant,0.32175055440225403,2.74134146648064e-05,0.00019508549038206398,6.924952422346859e-05,-3.639594695233322e-23,3.639594695233322e-23,3.8050308177439273e-23,7.444625512977249e-23,1.4395801394619665e-17,0.0,-0.0,0.0,3.639594695233322e-23,3.639594695233322e-23,1.0,0.0,0.0,0.0,4.371476658164946,3.526704897066628,faces_ndiv4_constant.csv
4,4,128,22,2816,gaussian,0.32175055440225403,2.74134146648064e-05,0.00019508549038206398,6.924952422346859e-05,1.4943303103695726e-17,1.4943303103695726e-17,1.704471538030204e-17,2.1014122766063147e-18,1.897062634274014e-18,0.0,3.56610135216921e-18,-3.56610135216921e-18,-1.8509404455864936e-17,1.8509404455864936e-17,1.23864210793444,8.326672684688674e-17,8.326672684688674e-17,0.0,4.371476658164946,0.6205741591921212,faces_ndiv4_gaussian.csv
4,4,128,22,2816,polynomial,0.32175055440225403,2.74134146648064e-05,0.00019508549038206398,6.924952422346859e-05,-4.515848191361197e-06,4.515848191361197e-06,-4.515848191390365e-06,2.9168426571649086e-17,1.3410225620930083e-17,6.918741362587494e-06,1.1434589553846147e-05,-4.515848191258653e-06,1.0254350266050011e-16,1.0254350266050011e-16,2.270747339484651e-11,-1.1102230246251565e-15,1.1102230246251565e-15,0.0,4.371476658164946,4.785162822412766,faces_ndiv4_polynomial.csv
4,8,512,22,11264,constant,0.14189705460416463,3.601218025485464e-07,8.749552318554516e-06,1.642847617991092e-06,-3.101927297073854e-25,3.101927297073854e-25,-1.0339757656912846e-25,2.0679515313825692e-25,8.309589645649938e-18,4.301339185275744e-23,3.0605682664462024e-23,1.2407709188295415e-23,1.27179019180028e-23,1.27179019180028e-23,1.025,4.301339185275744e-23,4.301339185275744e-23,0.0,5.291900701946708,5.820405394053297,faces_ndiv8_constant.csv
