ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
4,polynomial,0,0,1,1,5,0.18045404592656755,0.18045193011853236,4.369135048684636e-06,2.4211898526578756e-05,1.9068684571228909e-06,9.381814011316229e-07,9.381814011270898e-07,4.533108575468202e-18
4,polynomial,0,1,16,2,5,0.04263413768017606,0.042634247522370286,3.523578166395036e-07,8.26466601655443e-06,1.771104509445221e-07,-4.055566868163154e-09,-4.055566868128424e-09,3.473000519865142e-20
4,polynomial,0,2,48,1,5,0.13903119606942085,0.13903119606942096,1.1102230246251565e-16,7.985423818628452e-16,6.624588535510329e-17,-6.3845200876795674e-18,-6.794776970058604e-18,4.102568823790366e-19
4,polynomial,1,0,2,2,5,0.16095830750143525,0.16095885065818033,1.1071006163682062e-05,6.878159304947427e-05,4.398276369433921e-06,3.7058120262232706e-07,3.7058120262271326e-07,3.8619408438875756e-19
4,polynomial,1,2,7,1,5,0.0661073697143607,0.06609985246780005,7.517246560645452e-06,0.00011371268578868384,3.623244985159336e-06,-3.1715067748173064e-07,-3.171506774816117e-07,1.189551895300258e-19
4,polynomial,2,0,3,1,5,0.27155172371942526,0.2715543496552849,2.74134146648064e-05,0.0001009500112946281,1.1991975994312937e-05,1.1567160652603295e-06,1.1567160652577708e-06,2.5586747754184277e-18
4,polynomial,2,1,23,2,5,0.13881387044224905,0.13881155875132017,3.1857716087241306e-06,2.294995160479667e-05,1.7564869885213848e-06,6.429706474431906e-09,6.429706474041464e-09,3.904424840148299e-19
4,polynomial,3,0,4,2,5,0.0880286264209536,0.08802069127363527,1.053576685712456e-05,0.00011968568959309258,6.544418514530953e-06,-1.2923107618582086e-07,-1.2923107618578994e-07,3.091670257478196e-20
4,polynomial,3,2,9,1,5,0.24011986512908176,0.2401226805630244,6.200855318883036e-06,2.5823696888372496e-05,3.727044457442658e-06,3.477244580270231e-07,3.477244580264384e-07,5.847174314014842e-19
4,polynomial,4,0,5,1,5,0.23663784602591967,0.23663972979128703,5.80048979309522e-06,2.4511901692125713e-05,2.56177408997779e-06,-2.141396273598398e-07,-2.1413962735810238e-07,1.73742339349618e-18
4,polynomial,4,1,28,2,5,0.188917751313536,0.18891456554192734,3.1857716086547416e-06,1.6863272966697017e-05,1.7564869884282415e-06,-8.08355810720692e-08,-8.083558106781323e-08,4.2559699830384354e-18
4,polynomial,5,0,6,2,5,0.01290696248224793,0.01290638447412177,7.208578001183241e-07,5.585030568654574e-05,5.725979214382907e-07,-4.39588597766298e-09,-4.395885977720775e-09,5.779428221846749e-20
4,polynomial,5,2,11,1,5,0.23663972979128695,0.23663784602591947,5.800489793206243e-06,2.4511901692594884e-05,2.5617740900648933e-06,4.7860867049527844e-08,4.7860867049336355e-08,1.914890030835757e-19
4,polynomial,6,0,79,0,5,0.14271464908308656,0.14271482846942457,3.523578166741981e-07,2.468964300718672e-06,1.771104509333291e-07,4.075103482541635e-09,4.075103482555042e-09,1.3406943368259473e-20
4,polynomial,6,1,31,2,5,0.14271464908308656,0.14271482846942454,3.523578165354202e-07,2.4689642997462587e-06,1.7711045090008132e-07,-8.457799579695257e-10,-8.457799586675543e-10,6.980285608169076e-19
4,polynomial,7,0,8,1,5,0.1524629813375824,0.15244080373671975,2.2177600862649527e-05,0.00014546220117225733,9.444623072496897e-06,-8.628976227919657e-07,-8.628976227921326e-07,1.6686549060909717e-19
4,polynomial,7,2,50,1,5,0.12149610979089566,0.1214961097908957,5.0306980803327406e-17,4.1406248224663036e-16,3.541974864550723e-17,-1.696402945882051e-19,-1.6894781050704833e-18,1.5198378104822782e-18
4,polynomial,8,0,9,2,5,0.08409047463316321,0.08407406980168297,1.6404831480257287e-05,0.00019508549038189902,8.666924173932377e-06,1.7644235989477786e-07,1.7644235989580377e-07,1.0259157178025679e-18
4,polynomial,8,2,12,1,5,0.1524408037367198,0.15246298133758246,2.2177600862649527e-05,0.00014546220117225728,9.444623072494274e-06,2.1578221833049357e-06,2.15782218329744e-06,7.495818066726931e-18
4,polynomial,9,0,10,1,5,0.24012268056302424,0.2401198651290818,6.200855318883036e-06,2.5823696888372513e-05,3.7270444573856887e-06,1.482780053214748e-07,1.4827800532199022e-07,5.154195484042418e-19
4,polynomial,10,0,11,2,5,0.0880286264209536,0.08802069127363532,1.053576685701961e-05,0.00011968568959190034,6.544418514545643e-06,1.4514153331780286e-07,1.4514153331764073e-07,1.6212740006039342e-19
4,polynomial,10,2,14,1,5,0.27155434965528497,0.2715517237194253,2.7413414664723135e-05,0.00010095001129432145,1.1991975994249469e-05,-7.769257822699425e-07,-7.769257822688714e-07,1.0710731618030628e-18
4,polynomial,11,0,78,0,5,0.18891775131353594,0.18891456554192726,3.185771608682497e-06,1.6863272966843943e-05,1.7564869885202464e-06,4.742476024964257e-08,4.742476025126101e-08,1.6184351167416523e-18
4,polynomial,12,0,13,1,5,0.06609985246780004,0.06610736971436064,7.5172465606038186e-06,0.00011371268578805415,3.6232449851658257e-06,3.118367311520592e-07,3.1183673115312404e-07,1.0648262938170623e-18
4,polynomial,12,2,52,1,5,0.12149610979089573,0.12149610979089573,9.71445146547012e-17,7.995689312348723e-16,5.3185319257110413e-17,9.461796762669838e-19,5.074334878020279e-19,4.387461884649559e-19
4,polynomial,13,0,14,2,5,0.16095830750143522,0.16095885065818033,1.107100616357104e-05,6.878159304878451e-05,4.398276369394032e-06,-1.2265333071326528e-07,-1.2265333071143913e-07,1.826150094721068e-18
4,polynomial,13,2,15,1,5,0.1804519301185324,0.1804540459265677,4.369135048587491e-06,2.4211898526040402e-05,1.9068684570791899e-06,5.1339487345158555e-08,5.133948734509123e-08,6.732588441691603e-20
4,polynomial,14,0,75,0,5,0.13881387044224885,0.13881155875132,3.1857716087102528e-06,2.2949951604696728e-05,1.7564869884919384e-06,2.9651857800471897e-07,2.965185780035261e-07,1.1928870875300718e-18
4,polynomial,15,0,70,0,5,0.04263413768017604,0.042634247522370244,3.523578166186869e-07,8.264666016066176e-06,1.7711045090988313e-07,3.2842304573277743e-08,3.284230457363093e-08,3.5318626922544154e-19
4,polynomial,15,2,54,1,5,0.13903119606942096,0.1390311960694209,9.71445146547012e-17,6.987245841299896e-16,6.188067606353807e-17,1.2373426063975168e-18,2.732590695090697e-18,1.4952480886931804e-18
